Genre,Âge,Statut,Revenus,Fumeur?,Cigarettes par jour (week-end),Cigarettes par jour (semaine),Type
Femme,35,Marrié,"5,200 à 10,400",Non,0,0,
Femme,39,Marrié,"20,800 à 28,600",Non,0,0,
Femme,31,Separated,"2,600 à 5,200",Non,0,0,
Homme,38,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,34,Divorcé,"10,400 à 15,600",Oui,25,10,Paquets
Femme,36,Marrié,"10,400 à 15,600",Oui,20,20,Paquets
Homme,31,Célibataire,"20,800 à 28,600",Non,0,0,
Femme,31,Célibataire,"Sous 2,600",Oui,10,10,Roulées à la main
Homme,35,Marrié,"20,800 à 28,600",Non,0,0,
Homme,42,Marrié,"20,800 à 28,600",Non,0,0,
Homme,30,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,39,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,47,Marrié,"10,400 à 15,600",Non,0,0,
Homme,38,Marrié,"20,800 à 28,600",Non,0,0,
Femme,29,Divorcé,"15,600 à 20,800",Non,0,0,
Homme,75,Veuf,"5,200 à 10,400",Non,0,0,
Femme,47,Marrié,,Non,0,0,
Homme,55,Marrié,"15,600 à 20,800",Non,0,0,
Homme,42,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,39,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,64,Marrié,"5,200 à 10,400",Non,0,0,
Femme,84,Veuf,"2,600 à 5,200",Non,0,0,
Femme,49,Marrié,"5,200 à 10,400",Non,0,0,
Homme,24,Célibataire,"10,400 à 15,600",Non,0,0,
Homme,38,Célibataire,"10,400 à 15,600",Oui,30,30,Roulées à la main
Femme,45,Marrié,"15,600 à 20,800",Non,0,0,
Femme,47,Divorcé,"5,200 à 10,400",Non,0,0,
Homme,37,Divorcé,"28,600 à 36,400",Non,0,0,
Homme,59,Marrié,"5,200 à 10,400",Non,0,0,
Homme,25,Célibataire,"28,600 à 36,400",Non,0,0,
Homme,56,Marrié,"15,600 à 20,800",Non,0,0,
Femme,71,Divorcé,"2,600 à 5,200",Non,0,0,
Homme,81,Veuf,"10,400 à 15,600",Non,0,0,
Homme,55,Marrié,"15,600 à 20,800",Non,0,0,
Homme,42,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,73,Marrié,"2,600 à 5,200",Non,0,0,
Homme,43,Marrié,"28,600 à 36,400",Non,0,0,
Femme,57,Divorcé,"10,400 à 15,600",Oui,15,10,Paquets
Femme,47,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,29,Marrié,"10,400 à 15,600",Oui,15,15,Paquets
Femme,30,Veuf,"10,400 à 15,600",Non,0,0,
Homme,58,Marrié,"15,600 à 20,800",Oui,30,25,Paquets
Femme,58,Marrié,"28,600 à 36,400",Non,0,0,
Homme,70,Veuf,"5,200 à 10,400",Non,0,0,
Homme,18,Célibataire,,Non,0,0,
Femme,45,Célibataire,"2,600 à 5,200",Non,0,0,
Homme,37,Célibataire,"15,600 à 20,800",Oui,15,10,Les deux
Femme,44,Separated,"10,400 à 15,600",Non,0,0,
Homme,46,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,29,Marrié,"20,800 à 28,600",Non,0,0,
Homme,50,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,51,Marrié,"2,600 à 5,200",Non,0,0,
Homme,80,Veuf,"5,200 à 10,400",Non,0,0,
Femme,85,Marrié,"5,200 à 10,400",Non,0,0,
Femme,49,Marrié,"Sous 2,600",Non,0,0,
Homme,52,Marrié,"20,800 à 28,600",Non,0,0,
