Date,Country,State(USA only),City,Title
17 Jun 2022, Netherlands,,Amsterdam,Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
17 Jun 2022, USA,Tennessee,Nashville,Back to the Future in concert,return overlib('Alan Silvestri - Back to the Future<BR><BR>Power up your DeLorean Time Machine…recharge your flux capacitor… and get ready to celebrate this unforgettable movie classic as you’ve never seen and heard it before! Back to the Future is the 1.21-gigawatt blockbuster that topped the 1')
17 Jun 2022, USA,Pennsylvania,Philadelphia,Star Wars: A Galaxy of Music,"return overlib('The force is strong! The Philly POPS sets course for a galaxy far, far away with the music that changed cinema forever. <BR><BR>Music Director and Principal Conductor David Charles Abell will conduct pieces from each of these iconic films. Get goosebumps from the “Main Theme” of that ver')"
17 Jun 2022, Portugal,,Oporto (Porto),Fénix Tour,"return overlib('Film Symphony Orchestra returns to the stage with its new FÉNIX tour: an exciting show based on the best film music that represents the resurgence of life, art and culture. A thrill, a roar, a spectacular musical journey through the most iconic soundtracks that the seventh art has left us.<BR')"
17 Jun 2022, Russia,,Voronezh,David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
17 Jun 2022, Greece,,Athena (Athens),Nosferatu,"return overlib('After the great successes of the productions “Potemic” and “Sunrise”, Manos Kitsikopoulos, one of the most versatile soloists of his generation, returns to the Garden to accompany live on the piano a film-station in the history of cinema, Friedrich Willemour’s Nosferatu')"
17 Jun 2022, United Kingdom,,London,"Spellbinding melodies: LSO Leader Roman Simovic performs the Violin Concerto by Miklós Rózsa, the Hollywood legend behind classic film scores including Ben-Hur.","return overlib('London Symphony Orchestra<BR>Sir Simon Rattle, conductor<BR>Roman Simovic, violin<BR><BR>Miklós Rózsa - Concerto for violin and Orchestra Op. 24:  this violin concert formed for Rózsa the basis of his film music for the Billy Wilder film: The Private Life of Sherlock Holmes')"
17 Jun 2022, Romania,,Sibiu,Movie music concert,"return overlib('The thrill of famous stories on the big screen delights us again! The Sibiu State Philharmonic invites you, on Friday, June 17, to a concert with film music. The Philharmonic Orchestra will be conducted by conductor Cristian Lupe.<BR><BR>no further details available')"
17 Jun 2022, USA,Hawaii,Honolulu,Star Wars: The Empire Strikes Back -  In Concert,return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>The Hawai‘i Symphony Orchestra will present the Star Wars: The Empire Strikes Back In Concert featuring screenings of the complete film with Oscar®- winning composer John Williams’ musical score performed live to the film. The')
17 Jun 2022, United Kingdom,,Nottingham,Now Hear This,"return overlib('Now Hear This is a fun-packed, fast-paced introduction to classical music and the instruments of the orchestra for schoolchildren aged 8 to 11, with the chance to join the world famous Hallé in making a sensational sound.<BR><BR>Your guide to the music is a brand new presenter, Ruth Rosales a')"
17 Jun 2022, United Kingdom,,Nottingham,Drivetime Concert,"return overlib('The Hallé Orchestra<BR>Drivetime Choir<BR>Delyana Lazarova, conductor<BR><BR>Great orchestral music is everywhere, in films, TV shows and even video games, but there’s no better way to hear it than in a live concert. Our Drivetime Concert is an hour of fantastic music played by the amaz')"
18 Jun 2022, Belgium,,Villers-la-ville,Thrones And The Incredible Epic Soundtracks (Extra concert),"return overlib('As part of Villers-Symphonique<BR><BR>The music for great epic movies is often spectacular. They reach hearts, often move us, and sometimes draw tears from our eyes.<BR><BR>Choristers, soloists, musicians, actors, 130 artists will give life to these melodies in the dantesque setting of the Abbey of ')"
18 Jun 2022, Canada,,Vancouver,Music of Joe Hisaishi,"return overlib('Prolific composer and pianist Joe Hisaishi is the musical mastermind behind the score of numerous films. This symphonic concert celebrates his long and fruitful collaboration with the master of animated cinema, Hayao Miyazaki.<BR><BR>Joe Hisaishi - Symphony No. 2<BR>Joe Hisaishi - Woman for Piano, H')"
18 Jun 2022, Denmark,,Aalborg,Video Games in Sympony,"return overlib('With Video Games in Symphony, Aalborg Symfoniorkester pays tribute to the amazing music that helps to tell and reinforce gripping stories in the world of Video Games. Aalborg Symfoniorkester takes you on a musical adventure presented by gaming and film enthusiasts Jacob Ege Hinchely and Elias Eliot.')"
18 Jun 2022, USA,Tennessee,Nashville,Back to the Future in concert,return overlib('Alan Silvestri - Back to the Future<BR><BR>Power up your DeLorean Time Machine…recharge your flux capacitor… and get ready to celebrate this unforgettable movie classic as you’ve never seen and heard it before! Back to the Future is the 1.21-gigawatt blockbuster that topped the 1')
18 Jun 2022, USA,Pennsylvania,Philadelphia,Star Wars: A Galaxy of Music,"return overlib('The force is strong! The Philly POPS sets course for a galaxy far, far away with the music that changed cinema forever. <BR><BR>Music Director and Principal Conductor David Charles Abell will conduct pieces from each of these iconic films. Get goosebumps from the “Main Theme” of that ver')"
18 Jun 2022, USA,California,Berkeley,Emigres & Exiles in Hollywood: Encore!,"return overlib('Back by popular demand! We revisit some of audience favorites from our multi-year exploration of rarely heard chamber works and movie arrangements by film composers who fled Europe in the 1930s and ‘40s, many going on to win multiple Academy Awards, creating the characteristic Hollywood sound ')"
18 Jun 2022, South Korea,,Seoul,Film Music Concert: ET Flix,return overlib('Joe Hisaishi - Hana-bi<BR>John Corigliano - The Red Violin<BR>Dario Marianello - Pride and Prejudice suite<BR>Howard Shore - Scanners<BR>and much more')
18 Jun 2022, USA,Illinois,Chicago,Marvel Studios Presents Black Panther in Concert,"return overlib('Ludwig Göransson - The Black Panther<BR><BR>In 2018, Marvel Studios’ “Black Panther” quickly became a global sensation and cultural phenomenon, showing a new dimension of what Super Hero films could be. Rolling Stone raved, “The film lights up the screen with a full-thro')"
18 Jun 2022, Portugal,,Lisboa (Lisbon),Fénix Tour,"return overlib('Film Symphony Orchestra returns to the stage with its new FÉNIX tour: an exciting show based on the best film music that represents the resurgence of life, art and culture. A thrill, a roar, a spectacular musical journey through the most iconic soundtracks that the seventh art has left us.<BR')"
18 Jun 2022, United Kingdom,,Chelmsford,Classic British Film,"return overlib('Sir Malcolm Arnold was one of the most prolific British composers of the 20th Century, alongside much music for the concert hall he wrote over 100 film scores, and 2021 was the centenary of his birth. Many concerts planned to mark this occasion, including this one, were necessarily cancelled so ESO ')"
18 Jun 2022, USA,Texas,Tyler,A Texas Tribute,"return overlib('Richard Lee and the East Texas Symphony Orchestra are joined by special guests Kelli and Bob Phillips in a celebration of the 50th Anniversary of the iconic series \""Texas Country Reporter\"".  The concert features Texas-themed music, film scores, classical works and more all celebrating th')"
18 Jun 2022, USA,California,Misson Viejo,Pacific Symphony Gala 2022: A Night in Hollywood,return overlib('<BR><BR>Honoring Valerie and Hans Imhof for Outstanding Philanthropy and Leadership <BR><BR>Featuring Entertainment by Pacific Symphony Musicians And the Big Band Sounds of JT & Friends <BR><BR>The Symphony Gala is one of the most exciting and anticipated cultural events in Orange County.  Last ')
18 Jun 2022, Romania,,Sibiu,Music picnic in Steinburg Forest,return overlib('The thrill of famous stories on the big screen delights us again! The Sibiu State Philharmonic invites you to a concert with film music. The Philharmonic Orchestra will be conducted by conductor Cristian Lupe.<BR><BR>no further details available')
18 Jun 2022, Netherlands,,Amsterdam,Candlelight Movie Soundtracks: Hans Zimmer & John Williams,return overlib('Hans Zimmer - Gladiator<BR>Hans Zimmer - Interstellar<BR>John Williams - Harry Potter<BR>John Williams - Indiana Jones<BR>John Williams - Star Wars<BR>John Williams - Jurassic Park<BR>`John Williams - Schindler\'s List<BR>Hans Zimmer - Pirates of the Caribbean<BR>.. & more')
18 Jun 2022, Belgium,,Tervuren,The Bernsteins - Leonard & Elmer,"return overlib('Bruocsella Symphony Orchestra<BR>David Miller, conductor<BR>Maarten Vandenbemden, guitar<BR><BR>Leonard Bernstein - Candide Overture<BR>Elmer Bernstein - Magnificent 7 Theme<BR>Elmer Bernstein - Guitar Concerto<BR>Elmer Bernstein - The Great Escape March<BR>Leonard Bernstein - On The Waterfront Suit')"
18 Jun 2022, USA,Hawaii,Honolulu,Star Wars: The Empire Strikes Back -  In Concert,return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>The Hawai‘i Symphony Orchestra will present the Star Wars: The Empire Strikes Back In Concert featuring screenings of the complete film with Oscar®- winning composer John Williams’ musical score performed live to the film. The')
18 Jun 2022, China,,Shenzhen,Movie Classics (Midsummer Concert),"return overlib('This performance is adapted from the theme song and episode of a famous classic film and television work. It is performed in the form of a string quintet. In addition, the IMAX hall of the cinema presents the audience with carefully edited and arranged film clips. The audio-visual synchronization is')"
18 Jun 2022, Australia,,Ivanho,5 Days 5 Nights,"return overlib('Heidelberg Symphony Orchestra<BR>Elizabeth Sellars, violin<BR>Molly Kadarauch, cello<BR><BR>In Brahms time, the public were not overly enthusiastic about this double concerto but it now seems incredible that listeners in any period could have resisted the appeal of the work’s strong themes, bo')"
18 Jun 2022, USA,Georgia,Peachtree City,Star Wars and More: The Music of John Williams,"return overlib('Join the Atlanta Symphony Orchestra they bring their hit program Star Wars and More: The Music of John Williams to the Frederick Brown Jr. Amphitheater in Peachtree City on Saturday, June 18, 2022! This family-friendly symphonic event will feature the popular works from renowned composer and conduct')"
18 Jun 2022, United Kingdom,,Manchester,Summer Season 2022 – Top of the Classics,"return overlib('Hallé Orchestra<BR>Stephen Bell, conductor<BR>Hallé Choir<BR>Matthew Hamilton, choral director<BR><BR>Hallé Pops Associate Conductor, Stephen Bell, opens the summer season with Top of the Classics, a concert featuring some of the most popular and best loved pieces to have reache')"
18 Jun 2022, Canada,,Montréal (Montreal),Concert How to Train Your Dragon,"return overlib('Take off with us to discover a mythical musical universe! The OVMF will perform the most beautiful music by composer John Powell, taken from the trilogy (How to Train your Dragon, How to Train your Dragon 2 and How to Train your Dragon Hidden World). A concert that promises you passion and high aero')"
18 Jun 2022, Singapore,,Singapore,Disney in Concert: A Dream Is A Wish,"return overlib('This coming June School Holidays, DISNEY IN CONCERT A Dream Is A Wish will premiere at Sands Expo and Convention Centre at Marina Bay Sands, with four exclusive live performances on 18 and19 June 2022. Fans and families in town are invited to experience a magical performance that will immerse audien')"
19 Jun 2022, United Kingdom,,London,Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
19 Jun 2022, USA,Tennessee,Nashville,Back to the Future in concert,return overlib('Alan Silvestri - Back to the Future<BR><BR>Power up your DeLorean Time Machine…recharge your flux capacitor… and get ready to celebrate this unforgettable movie classic as you’ve never seen and heard it before! Back to the Future is the 1.21-gigawatt blockbuster that topped the 1')
19 Jun 2022, USA,Pennsylvania,Philadelphia,Star Wars: A Galaxy of Music,"return overlib('The force is strong! The Philly POPS sets course for a galaxy far, far away with the music that changed cinema forever. <BR><BR>Music Director and Principal Conductor David Charles Abell will conduct pieces from each of these iconic films. Get goosebumps from the “Main Theme” of that ver')"
19 Jun 2022, Russia,,Kazan,David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
19 Jun 2022, USA,California,Walnut Creek,Animals of the Orchestra,"return overlib('Diablo Symphony Orchestra<BR>Matilda Hofman, conductor<BR>Kirsten West, piano<BR>Julian Fong, piano<BR><BR>Musical instruments often represent different animals, or maybe they are actually animals themselves! Come and find animals hidden in our orchestra and in our music. Fun for the whole family. A')"
19 Jun 2022, Slovakia,,Pezinok,PFO in the Pezinok Amphitheater,"return overlib('Dear Slovak fans,<BR>At the end of this season, we have included another stop just for you.<BR>On Sunday, June 19 will perform a program full of feature films in the Amphitheater in Pezinok.<BR>You can look forward to choosing the best we have collected for you in the last few seasons.<BR>Forget Sta')"
19 Jun 2022, Netherlands,,Wildervank,Jubilee MHC treats to a festive concert!,"return overlib('The village of Wildervank is celebrating its 375th anniversary on June 16! It is clear that this is a very special date: the Margaretha Hardenberg Cultuurcentrum, which is located in the jubilee Wildervank, also has something to celebrate: their 25th anniversary!<BR><BR>High time for a party! And no')"
19 Jun 2022, Austria,,Wien (Vienna),Vijay Upadhyaya | John Williams,return overlib('The Music of John Williams<BR>- Star Wars<BR>- Harry Potter<BR>- Jurassic Park<BR>and much more ')
19 Jun 2022, USA,Hawaii,Honolulu,Star Wars: The Empire Strikes Back -  In Concert,return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>The Hawai‘i Symphony Orchestra will present the Star Wars: The Empire Strikes Back In Concert featuring screenings of the complete film with Oscar®- winning composer John Williams’ musical score performed live to the film. The')
19 Jun 2022, Norway,,Oslo,Outdoor concert at Myraløkka,"return overlib('Oslo Philharmonic<BR>Daniel Reith, conductor<BR>Brother Magnus Tødenes, tenor<BR>Frida Ånnevik, vocals<BR>Tuva Syvertsen, vocals<BR>Kari Slaatsveen, presenter<BR><BR>The Oslo Philharmonic is finally back on Myraløkka with its traditional free concert out in the open!<BR><BR>Leona')"
19 Jun 2022, United Kingdom,,Nottingham,Space Spectacular,return overlib('Music Lights Lasers<BR><BR>A thrilling concert of your favourite music from deep space and beyond in a galaxy of sight and sound with a Spectacular Star Wars finale.<BR><BR>John Williams - Star Wars<BR>John Williams - Superman<BR>John Williams - Close Encounters<BR>John Williams - E.T.<BR>Gustav Hol')
19 Jun 2022, United Kingdom,,London,Candlelight Open Air: Hans Zimmer's Best Works,"return overlib('Come and celebrate some of the fantastic worlds created by Hans Zimmer during this epic open-air concert, as part of the international Candlelight series. Academy Award, Golden Globes and Grammy award-winning composer Hans Zimmer has been behind many of the best-loved moments of your favourite, icon')"
19 Jun 2022, Denmark,,København (Copenhagen,Sunday on the Lawn: Open Air Concert,"return overlib('Enjoy a magnificent musical afternoon on the lawn in the spirit of film music, when Tivoli\'s own symphony orchestra - the Garden\'s oldest amusement - moves out of the Concert Hall to fill the Lawn with music. In the company of soloists Louise Norby and Morten Ernst Lassen, we pay tribute to songs ')"
19 Jun 2022, United Kingdom,,Gateshead,Shostakovich 10,"return overlib('Durham University Orchestral Society presents an afternoon of great symphonic music from the 20th Century. We begin with Zemlinsky’s Sinfonietta before journeying to the film studios of Hollywood in Korngold’s Violin Concerto (soloist Jamie Frost),<BR>Violin concert D-Dur, op.35: the con')"
19 Jun 2022, Germany,,Bayreuth,Greiz music night: Nosferatu - A symphony of horror,"return overlib('The Resurrection of Nosferatu<BR>A cinematic-musical reanimation of the \""Symphony of Horror\"".<BR><BR>100 years after its completion, \""Nosferatu - A Symphony of Horror\"" is still one of the classics of film history. The German silent film is considered one of the most important')"
19 Jun 2022, Singapore,,Singapore,Disney in Concert: A Dream Is A Wish,"return overlib('This coming June School Holidays, DISNEY IN CONCERT A Dream Is A Wish will premiere at Sands Expo and Convention Centre at Marina Bay Sands, with four exclusive live performances on 18 and19 June 2022. Fans and families in town are invited to experience a magical performance that will immerse audien')"
19 Jun 2022, Switzerland,,Bern,Modern Times,"return overlib('Charles Chaplin - Modern Times<BR><BR>The 21st Century Orchestra - for the first time in Bern - plays live to Charlie Chaplin\'s last silent film.<BR><BR>Chaplin as producer, leading actor, author, composer and director produces constant loud bursts of laughter with his film - which is Grosses Kino ')"
20 Jun 2022, United Kingdom,,London,"Borodin, Gershwin, Shostakovich, Stefan Malzew and Weber","return overlib('Sabine Meyer, clarinet<BR>Alliage Quintett<BR>Daniel Gauthier, soprano saxophone<BR>Miguel Valles, alto saxophone<BR>Simon Hanrath, tenor saxophone<BR>Sebastian Pottmeier, baritone saxophone<BR>Jang Eun Bae, piano<BR><BR>One of the world’s leading clarinettists has been the recipient of eight ')"
20 Jun 2022, Russia,,Moscow,From Handel to Zimmer,"return overlib('Simple Music Ensemble<BR>Anna Yanova, violin<BR>Daniil Padilov, violin<BR>Fyodor Tishkevich, cello<BR>Valentin Kochetkov, drums<BR>Daria Volobueva, harpsichord<BR>Artyom Karpov, electronics<BR>Natalia Sokolovskaya, piano / electronics<BR>Grigory Volkov, French horn / electronics / drums<BR>Olga Pele')"
21 Jun 2022, Russia,,Yekaterinburg,David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
21 Jun 2022, Poland,,Szczecin,Music Festival at the seaside,"return overlib('The first Music Festival was celebrated in 1982 on the Seine. We will also celebrate it by the water - in Międzyzdroje! In line with the idea of ​​this beautiful holiday, together with the musicians of \""Szczecińska Trzynastka\"", we go out into the public space to celebrate the day w')"
21 Jun 2022, Czech Republic,,Hradec Králové,Open Air Concert for Hradec - Hollywood Music,"return overlib('The Hradec Králové Philharmonic invites you to the evening Open Air concert \""Hollywood Music\"". Works by John Williams, Hans Zimmer, Vangelis and other film music composers. Songs from the films Gladiator, Brotherhood of the Intrepid, Titanic, Apollo 13 and others will be he')"
21 Jun 2022, Poland,,Łódź (Lodz),Film Music Concert,"return overlib('\""We now have extraordinary times for film music, which has boldly left the cinema and is listened to live all over the world during concerts,\"" Magdalena Miśka-Jackowska said in one of the interviews. - In fact, the history of cinema has come full circle. After all, in the early days of ')"
21 Jun 2022, Taiwan,,Taichung,Hayao Miyazaki's Classic Animation Music Concert,"return overlib('Many of us grew up with Hayao MIYAZAKI\'s animation movies. In every wonderful movie, there are always memorable pieces of music. The music is sometimes warm and touching, sometimes magnificent, and there are also times of romantic and humorous. The composer who enriched these films is Joe HISAISHI.')"
21 Jun 2022, Sweden,,Göteburg (Gothenburg),Side by Side 2022: Festival Concert,"return overlib('Gothenburg Symphony Orchestra<BR>Ron Davis Alvarez, conductor<BR>Göteborgs Symfonikers Vokalensemble ensemble<BR>Daniela Musca, conductor<BR>Marjolein Vermeeren, conductor<BR>Emil Eliasson, conductor<BR>Participants from the music camp Side by Side<BR><BR>Welcome to a unique concert experience ')"
22 Jun 2022, China,,Hong Kong,Harry Potter and the Goblet of Fire™ in concert,return overlib('Patrick Doyle - Harry Potter and the Goblet of Fire<BR><BR>The fourth instalment of the Harry Potter™ film concert series with Harry Potter and the Goblet of Fire™ in concert<BR><BR>The Harry Potter™ Film Concert Series returns to the Star Hall (KITEC) in Hong Kong with Harry Potte')
22 Jun 2022, France,,"Paris, Boulogne-Billancourt",Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
22 Jun 2022, United Kingdom,,Croydon,Croydon Symphonic Band,"return overlib('Croydon Symphonic Band return to Fairfield Halls. Programme includes Jubilee Overture to celebrate the Queen\'s Jubliee; The Wasps Overture to celebrate the 150th birthday of Ralph Vaughn Williams Music from the movies including - Viktor\'s Tale from The Terminal, Hymn to the Fallen from Saving Priv')"
22 Jun 2022, USA,Georgia,Atlanta,Concerts in the Park: Hooray for Hollywood,"return overlib('Guest conductor Anthony Parnther and the ASO will perform a program of some of Hollywood\'s greatest hits, including music from Back to the Future, King Richard, Call of the Wild, Out of Africa, E.T. and more. This concert is FREE and open to the public.<BR><BR>Atlanta Symphony Orchestra Concerts in')"
22 Jun 2022, USA,"Washington, D.C.","Washington, DC",E.T. The Extra-Terrestrial - In Concert,"return overlib('John Williams - E.T. - The Extra Terrestrial<BR><BR>To celebrate the film’s 40th Anniversary and John Williams’ 90th birthday, the National Symphony Orchestra performs the composer’s complete Academy Award®–winning score as Steven Spielberg’s timeless classic is pro')"
22 Jun 2022, Czech Republic,,Praha (Prague),Open Air Concert dedicated to Jiří Bělohlávek,"return overlib('Czech Philharmonic<BR>Jan Mráček, violin<BR>Wayne Marshall. conductor<BR>Marek Eben, presenter<BR><BR>Programme<BR>Leonard Bernstein - Candide, opera overture<BR>George Gershwin - An American in Paris<BR>John Williams - Star Wars: Across the Stars (Deluxe Score)<BR>John Williams - Star Wars:')"
23 Jun 2022, France,,"Paris, Boulogne-Billancourt",Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
23 Jun 2022, Netherlands,,Den Haag (The Hague),The Star Wars Suite (postponed),"return overlib('After the corona period, we are now experiencing another terrible situation: the war in Ukraine.<BR><BR>The concert will be performed by both the choir and the orchestra from Ukraine.<BR><BR>Our friends from Ukraine, last November they were still on stage in the Netherlands, now they are on the run,')"
23 Jun 2022, Russia,,Saint Petersburg,David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
23 Jun 2022, USA,"Washington, D.C.","Washington, DC",John Williams: The 90th Birthday Gala Concert (SOLD OUT),"return overlib('CONCERT IS SOLD OUT<BR><BR>Join us for an all-star birthday concert celebrating John Williams’ iconic music. Conducted by Stéphane Denève, this once-in-a-lifetime event features the National Symphony Orchestra with special guests Yo-Yo Ma, Steven Spielberg, Anne-Sophie Mutter, and more.<BR><BR>John William')"
24 Jun 2022, Canada,,Toronto,Joe Hisaishi in Concert,"return overlib('The world-renowned Japanese composer-conductor Joe Hisaishi makes his impressive first appearance in Toronto in 2020!<BR><BR>Joe Hisaishi is the musical mastermind behind the score of numerous films, this symphonic concert celebrates his long and fruitful collaboration with the master of animated ci')"
24 Jun 2022, USA,Montana,Bozeman,John Williams 90th Birthday Bonanza,"return overlib('The Bozeman Symphony presents an entire concert of music by John Williams. Hear your Bozeman Symphony perform themes from timeless classics such as E.T., Jurassic Park, Star Wars, and more. Test your John Williams knowledge with Norman’s curated trivia game: “Name that Theme.” This')"
24 Jun 2022, USA,Texas,Dallas,Toy Story – Live in Concert,"return overlib('Randy Newman - Toy Story<BR><BR>The Dallas Symphony hosts Disney Concert’s newest live-to-picture concert event featuring the timeless classic film, Toy Story, accompanied by Randy Newman’s beloved score.<BR><BR>Bring your children and grandchildren to follow along as pull-string cowboy,')"
24 Jun 2022, USA,Illinois,Chicago,Grant Park Music Festival: Shostakovich Symphony No. 11,"return overlib('Grant Park Orchestra<BR>Carlos Kalmar, conductor<BR>Simone Lamsma, violin<BR><BR>Out of the Golden Age of Hollywood comes a gem of a violin concerto by the pioneering film composer Erich Korngold. The Dutch virtuoso violinist Simone Lamsma makes her Festival debut. Also, Carlos Kalmar conducts the r')"
