Lot #,Fournisseur,Années,Poids nominal (tonnes),%-McIntosh,%-Spartan,%-Empire,%-Cortland
2021G1028,G,2021,10,0,100,0,0
2021G1036,G,2021,10,0,100,0,0
2021G1046,G,2021,10,0,100,0,0
2021G1054,G,2021,10,0,100,0,0
2021G1062,G,2021,10,0,100,0,0
2021G1070,G,2021,10,0,100,0,0
2022G1007,G,2022,10,0,100,0,0
2022G1014,G,2022,10,0,100,0,0
2022G1023,G,2022,10,0,100,0,0
2022G1031,G,2022,10,0,100,0,0
2022G1039,G,2022,10,0,100,0,0
2022G1049,G,2022,10,0,100,0,0
2022G1057,G,2022,10,0,100,0,0
2022G1065,G,2022,10,0,100,0,0
2022G1073,G,2022,10,0,100,0,0
2022G1081,G,2022,10,0,100,0,0
2012H1012,H,2012,10,0,0,100,0
2012H1025,H,2012,10,0,0,100,0
2012H1033,H,2012,10,0,0,100,0
2013H1014,H,2013,10,0,0,100,0
2013H1026,H,2013,10,0,0,100,0
2013H1034,H,2013,10,0,0,100,0
2014H1014,H,2014,10,0,0,100,0
2014H1026,H,2014,10,0,0,100,0
2014H1034,H,2014,10,0,0,100,0
2015H1008,H,2015,10,0,0,100,0
2015H1016,H,2015,10,0,0,100,0
2015H1024,H,2015,10,0,0,100,0
2015H1033,H,2015,10,0,0,100,0
2015H1041,H,2015,10,0,0,100,0
2016H1008,H,2016,10,0,0,100,0
2016H1016,H,2016,10,0,0,100,0
2016H1024,H,2016,10,0,0,100,0
2016H1033,H,2016,10,0,0,100,0
2016H1041,H,2016,10,0,0,100,0
2017H1008,H,2017,10,0,0,100,0
2017H1017,H,2017,10,0,0,100,0
2017H1025,H,2017,10,0,0,100,0
2017H1037,H,2017,10,0,0,100,0
2017H1045,H,2017,10,0,0,100,0
2018H1008,H,2018,10,0,0,100,0
2018H1017,H,2018,10,0,0,100,0
2018H1025,H,2018,10,0,0,100,0
2018H1037,H,2018,10,0,0,100,0
2018H1045,H,2018,10,0,0,100,0
2019H1007,H,2019,10,0,0,100,0
2019H1019,H,2019,10,0,0,100,0
2019H1027,H,2019,10,0,0,100,0
2019H1041,H,2019,10,0,0,100,0
2019H1049,H,2019,10,0,0,100,0
2019H1057,H,2019,10,0,0,100,0
2020H1007,H,2020,10,0,0,100,0
2020H1022,H,2020,10,0,0,100,0
2020H1030,H,2020,10,0,0,100,0
2020H1043,H,2020,10,0,0,100,0
2020H1051,H,2020,10,0,0,100,0
2020H1059,H,2020,10,0,0,100,0
2020H1067,H,2020,10,0,0,100,0
2021H1008,H,2021,10,0,0,100,0
2021H1021,H,2021,10,0,0,100,0
2021H1029,H,2021,10,0,0,100,0
2021H1037,H,2021,10,0,0,100,0
2021H1047,H,2021,10,0,0,100,0
2021H1055,H,2021,10,0,0,100,0
2021H1063,H,2021,10,0,0,100,0
2021H1071,H,2021,10,0,0,100,0
2022H1008,H,2022,10,0,0,100,0
2022H1015,H,2022,10,0,0,100,0
2022H1024,H,2022,10,0,0,100,0
2022H1032,H,2022,10,0,0,100,0
2022H1040,H,2022,10,0,0,100,0
2022H1050,H,2022,10,0,0,100,0
2022H1058,H,2022,10,0,0,100,0
2022H1066,H,2022,10,0,0,100,0
2022H1074,H,2022,10,0,0,100,0
2022H1082,H,2022,10,0,0,100,0
