Date,Année,Jour Calendrier Saison,Temp max.(°C),Temp min.(°C),Temp moy.(°C),Diff Temp (°C),Précip. tot. (mm),Précip. Tot. Hiver (mm),Nombre épisodes gel/dégel,Production moyenne par entaille (L),Débit sève (L/j),Sucre sève (%),Alimentation osmoseur (L/j),Osmoseur (heures opération/j),Pression osmoseur (bar),Sucre sortie osmoseur (%),Température Bouilloire (0C),Temps bouilloire (h),Sucre du sirop obtenu (%),Quantité de sirop obtenue (L),Transmittance produit (%),Pixel1_R,Pixel1_G,Pixel1_B,Pixel2_R,Pixel2_G,Pixel2_B,Pixel3_R,Pixel3_G,Pixel3_B,Pixel4_R,Pixel4_G,Pixel4_B,Pixel5_R,Pixel5_G,Pixel5_B,Pixel6_R,Pixel6_G,Pixel6_B,Pixel7_R,Pixel7_G,Pixel7_B,Pixel8_R,Pixel8_G,Pixel8_B,Pixel9_R,Pixel9_G,Pixel9_B,Classe Sirop
2000-02-11,2000,11,-6.2,-16.5,-11.4,10.3,6,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-12,2000,12,-11.2,-22.9,-17.1,11.7,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-13,2000,13,-7.6,-24.6,-16.1,17,2.4,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-14,2000,14,-4.6,-7.6,-6.1,3,9,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-15,2000,15,-2.7,-12.5,-7.6,9.8,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-16,2000,16,-3.5,-12.6,-8.1,9.1,9.6,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-17,2000,17,-11.6,-21.9,-16.8,10.3,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-18,2000,18,-8.2,-23.7,-16,15.5,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-19,2000,19,-2.6,-17.8,-10.2,15.2,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-20,2000,20,-4.9,-19.6,-12.3,14.7,1,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-21,2000,21,-6.5,-16.1,-11.3,9.6,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-22,2000,22,-4.2,-16.1,-10.2,11.9,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-23,2000,23,3.9,-5.1,-0.6,9,6,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-24,2000,24,5.7,-3.1,1.3,8.8,0,313.2,27,34.31536139,9319.2,3.1,4056,9.13,40.2,8.2,103.8746897,4.27,66,328.89,52.55,217.34,82.51,15.59,255,93.08,26.16,239.1,79.01,3.16,225.26,84.67,61.11,255,140.12,65.45,238.71,79.94,61.47,255,99.27,31.89,213.45,136.36,71.84,245.5,77.59075361,73.15585092,Ambré
2000-02-25,2000,25,-1,-5.3,-3.2,4.3,0,313.2,27,34.31536139,455.4,3.13,179,0.4,37.62,5.62,104.0504859,1.63,67,15.99,47.29,238.9,104.01,33.33,253.7,63.38,11.1,225.85,58.53,4.83,232.42,102.16,20.01,235.67,93.68,53.74,214.93,113.97,33.68,248.56,84.28,50.09,180.42,62.72,53.63,184.23,64.83015556,38.93262544,Foncé
2000-02-26,2000,26,4.4,-5.2,-0.4,9.6,0,313.2,27,34.31536139,10166.4,2.93,3211,7.23,42.76,10.76,104.2064225,5.11,68,329.51,37.86,159.25,80.17,14.89,157.99,86.28,13.91,168.46,71.83,7.05,166.55,40.97,51.24,147.9,74.45,59.06,201.09,36.84,21.56,170.88,41.97,5.4,198.04,97.76,25.56,141.71,55.01130685,57.14431817,Foncé
2000-02-27,2000,27,12,2.2,7.1,9.8,1.4,313.2,27,34.31536139,1037.8,2.99,415,0.93,41.88,9.88,104.22747,1.65,68,34.3,47.76,205.11,95.18,37.27,188.13,85.58,65.67,249.61,72.89,37.71,185.67,105.95,3.63,233.57,83.29,15.29,235.36,91.41,41.62,233.91,89.77,55.38,222.34,101.34,30.33,255,63.62983576,18.56613824,Foncé
2000-02-28,2000,28,6.6,0.5,3.6,6.1,11.2,313.2,27,34.31536139,646,2.64,268,0.6,40.24,8.24,103.8343541,1.67,66,19.42,49.37,191.71,103.93,57.06,204.19,112.35,70.27,245.68,101.29,8.09,255,88.39,45.84,189.99,83.38,7.63,200.41,79.73,5.05,250.16,74.78,30.82,206.38,63.45,56.43,244.82,90.43055554,22.45792826,Foncé
2000-02-29,2000,29,5.4,-2.8,1.3,8.2,0,313.2,27,34.31536139,8683.8,3.03,4062,9.14,42.48,10.48,103.8427704,3.63,66,299.9,55.46,212.02,106.84,53.87,222.27,85.83,75.92,254.82,155.89,69.91,223.37,89.26,12.4,255,154.06,65.25,233.76,123.78,51.25,255,136.03,72.26,224.75,144.3,5.15,242.42,141.1267712,58.73714407,Ambré
2000-03-01,2000,30,2.2,-5.1,-1.5,7.3,0,313.2,27,34.31536139,773.1,3.18,267,0.6,40.02,8.02,103.8917382,1.65,66,27.99,40.8,173.6,98.58,61.1,158.87,93.64,65.56,149.16,38.3,64.47,158.55,66.73,70.48,167.5,74.09,70.77,203.96,78.11,52.33,154.74,109.24,63.45,169.45,94.37,59.41,198.63,84.59861326,23.54816604,Foncé
2000-03-02,2000,31,1.4,-0.1,0.7,1.5,4.6,313.2,27,34.31536139,158.9,2.88,73,0.16,44.09,12.09,104.0411759,1.54,67,5.13,54.08,240.83,109.44,31.86,255,129.83,24.19,245.57,134.38,45.83,208.21,139.88,65.39,214.8,83.54,43.35,255,151.46,10.98,255,99.61,74.22,250.76,136.42,22.54,228.76,151.197053,52.8693014,Ambré
2000-03-03,2000,32,4.5,-1.9,1.3,6.4,0.6,313.2,27,34.31536139,6777.6,3.15,2579,5.8,39.87,7.87,103.6318579,3.33,65,246.91,44.62,197.95,85.59,40.17,173.14,105.45,55.32,222.88,67.41,59.98,181.42,98.05,27.37,214.83,53.96,58.84,171.12,105.27,64.4,211.19,90.72,0,172.22,0,0,186.54,0,0,Foncé
2000-03-04,2000,33,2.6,-2.8,-0.1,5.4,0,313.2,27,34.31536139,571.9,3.11,280,0.63,40.82,8.82,104.0645979,1.64,67,19.93,57.19,241.47,166.11,7.39,255,109.34,52.06,238.07,138.63,60.75,245.67,93.21,34.92,231.81,113.86,25.79,229.68,128.18,33.01,217.11,108.74,30.05,249.47,96.96,50.15,225.41,111.1157367,38.50710184,Ambré
2000-03-05,2000,34,5,-1.8,1.6,6.8,0.4,313.2,27,34.31536139,7201.2,2.98,3328,7.49,38.8,6.8,104.211629,3.41,68,236.99,53.78,224.62,85.5,31.91,217.73,132.61,16.74,255,137.07,28.21,223.3,80.34,14.39,251.25,109.79,12.54,253.63,129.22,61.02,255,109.64,70.07,232.57,103.71,23.2,217.11,140.5289,50.74742665,Ambré
2000-03-06,2000,35,4.6,-0.3,2.2,4.9,0,313.2,27,34.31536139,5189.1,3,2227,5.01,39.24,7.24,103.807019,2.42,66,177.38,49.76,215.3,69.67,31.74,204.22,120.65,24.29,218.61,119.22,46.16,246.19,134.99,15.1,217.58,88.48,2.04,255,124.8,56.94,220.95,97.32,35.44,239.4,91.44,61.96,235.63,76.11160506,18.74293124,Foncé
2000-03-07,2000,36,6.4,-2.3,2.1,8.7,0,313.2,27,34.31536139,9213.3,2.96,2869,6.46,40.9,8.9,104.0058049,4.76,67,306.42,35.97,166.6,89.21,59.59,189.42,25.35,22.2,152.62,27.72,14.74,148.22,47.29,38.08,139.7,94.94,24.74,155.72,41.74,30.96,123.65,72.63,61.78,181.16,57.03,38.66,184.35,98.69557408,40.38535354,Foncé
2000-03-08,2000,37,3.7,-2.5,0.6,6.2,0,313.2,27,34.31536139,656.6,2.98,144,0.32,38.7,6.7,104.0216198,1.56,67,21.94,25.24,61.62,32.79,20.66,112.37,36.28,21.07,76.16,68.79,22.37,85.09,72.86,40.23,73.51,48.16,63.25,55.75,48.49,22.66,107.06,14.86,42.68,98.76,19.12,63.67,103.25,51.70194973,79.13564662,Foncé
2000-03-09,2000,38,8.3,-5.3,1.5,13.6,7.8,313.2,27,34.31536139,14402.5,2.59,7415,16.69,40.09,8.09,104.0709269,6.04,67,418.12,59.01,249.16,105.84,79.31,255,152.86,41.2,255,121.17,26.77,255,175.95,71.61,255,103.94,17.41,253.73,115.27,21.18,242.35,143.35,7.01,246.92,169.63,11.36,236.58,115.7274027,10.76613,Ambré
2000-03-10,2000,39,-5.2,-11.3,-8.3,6.1,0,313.2,27,34.31536139,646,3.05,227,0.51,37.99,5.99,104.0094073,1.59,67,22.14,40.13,172.13,49.01,53.03,171.76,94.11,15.69,153.2,56.34,22.98,188.28,34.63,11.65,163.6,60.51,62.92,145.4,103.42,25.8,144.56,94.94,20.61,161.06,49.84,30.22,213.22,34.16479911,29.85808082,Foncé
2000-03-11,2000,40,-2.6,-7.1,-4.9,4.5,3.3,313.2,27,34.31536139,476.6,2.9,182,0.41,37.67,5.67,104.0105979,1.66,67,15.51,43.44,207.04,62.87,3.68,235.41,102.88,0,217.1,0,0,236.09,0,0,202.75,0,0,216.58,0,0,220.43,0,0,223.55,0,0,231.64,0,0,Foncé
2000-03-12,2000,41,-0.2,-5.9,-3.1,5.7,9.4,313.2,27,34.31536139,603.6,2.67,210,0.47,41.38,9.38,103.8623703,1.68,66,18.33,39.42,206.18,56.67,1.77,158.73,71.05,63.51,152.95,63.42,35.2,164.14,77.3,57.3,200.53,66.65,69.96,144.78,69.28,47.37,208.44,93.46,5.59,210.56,105.49,6.34,201.69,99.96503967,10.88642828,Foncé
2000-03-13,2000,42,-4.4,-14.5,-9.5,10.1,0,313.2,27,34.31536139,1069.6,2.92,420,0.95,40.55,8.55,104.0689508,1.5,67,35.1,44.32,166.71,83.86,65.81,166.3,73.26,63.55,192.08,73.4,11.31,181.26,116.33,19.6,173.26,90.44,57.5,197.34,79.84,35.31,223.76,71.23,22.2,203.01,50.28,62.74,214.56,102.8962397,26.8927498,Foncé
2000-03-14,2000,43,-0.7,-16.2,-8.5,15.5,3.8,313.2,27,34.31536139,1641.5,2.99,459,1.03,38.13,6.13,103.825334,1.65,66,55.84,31.44,108.8,45.72,51.22,135.11,19.68,6.52,158.13,60.69,56.75,151.03,29.98,59.09,108.32,19.53,55.04,156.19,60.93,46.32,118.91,79.72,24.73,124.23,30.88,23.19,122.55,21.97213454,16.99940316,Foncé
2000-03-15,2000,44,3.2,-2.3,0.5,5.5,2,313.2,27,34.31536139,582.5,3.05,85,0.19,40.24,8.24,104.0114756,1.68,67,19.91,16.34,0,40.37,42.54,0,35.71,58.7,0,28.01,63.79,0,72.82,95.89,7.36,79.57,43.74,0,15.36,108.8,0,76.93,42.04,0,81.5,108.42,0,57.21873063,86.1091154,Très Foncé
2000-03-16,2000,45,2.6,-6.7,-2.1,9.3,3.8,313.2,27,34.31536139,984.9,2.94,388,0.87,41.85,9.85,103.8069959,1.55,66,33.03,43.95,205.62,61.72,41.43,222.51,81.98,43.55,224.65,51.46,25.52,194.76,99.66,50.42,214.51,106.44,10.71,169.1,110.23,30.18,164.32,78.13,9.57,200.83,86.78,49.95,186.55,94.8058221,21.59717579,Foncé
2000-03-17,2000,46,-2.8,-11.6,-7.2,8.8,0,313.2,27,34.31536139,931.9,3.06,407,0.92,42.2,10.2,103.6937973,1.63,65,33.03,48.53,232.16,62.68,17.91,210.72,102.78,40.15,222.95,72.75,31.41,198.34,117.53,70.25,208.97,61.28,13.16,210.96,71.84,48.24,252.86,120.22,66.85,235.67,120.54,22.94,226.14,116.2947534,62.86146262,Foncé
2000-03-18,2000,47,-2.5,-15,-8.8,12.5,0,313.2,27,34.31536139,1323.8,2.96,711,1.6,39.37,7.37,104.473515,1.64,69,42.76,59.45,231.7,171.07,39.36,221.82,131.6,63.27,255,147.32,26.63,253.02,162.44,64.78,244.61,105.98,54.87,237.78,122.76,67.97,255,152.09,21.21,255,121.23,47.78,255,170.3346687,8.557840734,Ambré
2000-03-19,2000,48,1.8,-12.2,-5.2,14,0,313.2,27,34.31536139,1482.6,3.13,522,1.17,43.47,11.47,104.251734,1.62,68,51.34,38.82,149.28,95.1,48.97,146.49,83.86,47.1,139.19,42.43,54.21,191.22,67.45,38.19,202.92,94.58,48.01,149.98,66.75,19.54,198.7,86.15,29.49,203.59,43.26,54.9,144.31,43.5229424,57.47618744,Foncé
2000-03-20,2000,49,2.4,-2.2,0.1,4.6,0,313.2,27,34.31536139,487.1,3.15,198,0.45,37.35,5.35,103.808704,1.65,66,17.51,44.63,184.05,74.16,37.76,209.93,49.06,29.71,220.58,105.34,14.56,206.87,85.74,48.97,229.95,93.46,29.17,228.98,78.34,1.18,221.63,65.89,45.34,190.8,116.95,39.5,208.9,53.58648235,45.29436359,Foncé
2000-03-21,2000,50,5,-1.6,1.7,6.6,0,313.2,27,34.31536139,6989.4,3.16,3621,8.15,38.76,6.76,104.0808707,3.31,67,248.12,56.66,236.15,97.09,15.99,255,147.67,16.36,255,120.68,74.87,255,92.03,17.95,255,99.6,16.68,255,140.94,20.44,223.46,101.34,43.73,255,92.92,54.01,219.14,104.343756,59.02579098,Ambré
2000-03-22,2000,51,11.4,-2.3,4.6,13.7,0,313.2,27,34.31536139,14508.4,3.04,4850,10.91,41.83,9.83,104.2734146,7.05,68,487.98,36.42,153.73,72.56,7.89,159.52,72.85,14.17,159.75,74.59,30.72,124.55,64.71,72.22,196.42,60.39,11.92,124.93,75.95,3.96,135.13,42.82,68.71,165.3,51.58,40.02,187.48,35.07798454,45.18341356,Foncé
2000-03-23,2000,52,11.3,-1.6,4.9,12.9,0,313.2,27,34.31536139,13661.2,3.12,4554,10.25,37.69,5.69,104.0634395,7.37,67,478,36.17,162.14,75.09,64.62,164.9,32.92,21.25,157.5,65.45,23.48,151.37,94.63,16.34,122.05,88,34.7,143.55,91.21,61.6,152.94,67.08,13.14,154.88,85.18,54.86,167.47,65.14825163,13.18950489,Foncé
2000-03-24,2000,53,9,-0.7,4.2,9.7,0,313.2,27,34.31536139,10272.3,3.15,4313,9.71,39.41,7.41,104.085194,4.9,67,363.68,45.37,234.8,58.65,34.09,181.43,67.92,49.76,177.67,99.56,71.66,234.33,51.05,35.61,218.24,80.23,39.7,225.1,94.99,65.88,225.98,119.49,56.65,177.01,57.02,61.48,219.05,121.3537338,54.26660692,Foncé
2000-03-25,2000,54,6.2,-2.1,2.1,8.3,0.6,313.2,27,34.31536139,8789.7,2.9,3522,7.93,41.53,9.53,104.2713684,4.02,68,281.41,43.12,161.87,103.61,34.4,219.63,48.42,1.08,187.79,47.26,65.21,169.42,63.23,22.07,198.04,54.39,19.1,172.36,46.44,7.12,174.14,76,66.24,201.37,58.25,45,177.13,112.6845954,60.01678543,Foncé
2000-03-26,2000,55,7.8,1.5,4.7,6.3,0.4,313.2,27,34.31536139,667.2,2.9,246,0.55,41.47,9.47,104.4289892,1.6,69,21.07,39.52,169.9,51.3,65.3,165.97,78.09,26.97,143.24,99.74,2.98,192.26,36.48,4.29,201.16,70.95,27.04,179.3,60.19,15.03,160.75,81.09,70.38,211.23,42.86,63.82,175.37,104.8974991,15.45631342,Foncé
2000-03-27,2000,56,10.6,0.4,5.5,10.2,0,313.2,27,34.31536139,1080.2,3.08,455,1.02,39,7,104.0995923,1.55,67,37.39,44.97,231.73,109.78,4.05,235.95,79.49,14.06,241.91,74.54,48.8,202.3,80.24,50.95,171.67,118.57,51.11,186.14,46.97,38.83,244.2,58.15,64.1,233.5,68.95,10.85,183.85,54.16331827,2.936878112,Foncé
2000-03-28,2000,57,6.7,3.7,5.2,3,10.6,313.2,27,34.31536139,317.7,2.46,110,0.25,40.62,8.62,104.0698866,1.58,67,8.78,36.81,143.27,37.64,53.1,166.19,79.92,10.6,146.39,59.27,55.55,144.66,33.3,11.8,144.08,91.07,5.72,161.82,93.15,72.85,130.77,52.02,23.53,148.53,65.04,50.61,153.67,28.30873509,22.6883385,Foncé
2000-03-29,2000,58,9,2.5,5.8,6.5,2.6,313.2,27,34.31536139,688.4,3.02,270,0.61,38.13,6.13,104.2300674,1.58,68,22.98,41.53,193.11,73.28,46.67,221.1,96.25,36.53,167.15,64.99,8.76,196.97,37.2,72.22,181.61,90.43,34.1,153.06,68.08,72.47,203.99,92.51,6.54,180.27,64.01,49.01,187.92,85.68250749,11.22411596,Foncé
2000-03-30,2000,59,4.7,1.4,3.1,3.3,0.6,313.2,27,34.31536139,349.5,3.14,157,0.35,38.77,6.77,104.0221093,1.51,67,12.31,47.37,189.71,81,0,226,0,0,208.26,0,0,203.67,0,0,210.32,0,0,194.98,0,0,201.23,0,0,193.93,0,0,251.94,0,0,Foncé
2000-03-31,2000,60,8.2,-0.5,3.9,8.7,0,313.2,27,34.31536139,9213.3,2.96,4740,10.67,38.53,6.53,103.8742575,4.19,66,310.79,54.02,255,123.73,45.21,255,137.9,10.81,255,128.92,67.45,255,94.51,73.77,255,88.38,5.92,238.15,141.63,33.9,255,90.21,48.38,232.57,121.54,22.31,216.2,132.114602,14.09849928,Ambré
2000-04-01,2000,61,9.5,1.5,5.5,8,0,313.2,27,34.31536139,847.2,3.19,255,0.57,41.88,9.88,103.8537977,1.56,66,30.82,31.47,96.96,49.86,33.87,146.52,48.16,17.33,100.3,83.17,57.32,139.85,42.05,56.33,155.99,27.86,22.56,117.43,85.93,31.71,158.82,88.61,42.64,89.73,70.96,16.48,156.71,80.00460429,29.2827511,Foncé
2000-04-02,2000,62,8.4,1.6,5,6.8,1.4,313.2,27,34.31536139,720.1,2.89,226,0.51,42.88,10.88,104.2127083,1.51,68,23,32.68,107.33,76.61,44.77,132.61,74.2,60.04,139.2,53.93,50.58,140.11,19.03,59.55,126.5,67.05,37.85,162.33,61.61,25.9,110.29,62.9,47.24,163.12,29.03,14,110.63,76.56056073,60.41675071,Foncé
2000-04-03,2000,63,12.8,-1.2,5.8,14,0,313.2,27,34.31536139,14826.1,2.91,4832,10.87,43.26,11.26,104.0273917,7.02,67,484.89,33.79,163.85,29.62,36.14,135.98,83.62,44.07,143.18,51.55,61.5,140.81,90.62,4.22,178.46,93.4,19.51,154.55,54.23,72.39,177.77,21.87,71.74,136.37,74.4,21.34,176.08,26.85945923,10.04780434,Foncé
2000-04-04,2000,64,6.1,3.3,4.7,2.8,13.4,313.2,27,34.31536139,296.5,2.32,126,0.28,35.52,3.52,103.8781678,1.52,66,7.85,43.87,176.27,62.77,33.6,173.11,85.74,46.42,229.69,98.26,24.17,180.42,89.92,71.41,198.04,81.42,67.43,180.42,101.53,58.82,180.94,67.1,15.44,225.4,117.17,21.53,200.95,86.61425728,12.80216558,Foncé
2000-04-05,2000,65,5.2,-1.4,1.9,6.6,2.4,313.2,27,34.31536139,6989.4,3.05,3846,8.66,41.01,9.01,104.2150857,2.84,68,235.36,56.57,220.64,118.67,9.43,226.6,123.01,60.34,255,138.22,28.12,255,147.05,35.98,254.72,141.16,72.06,255,107.15,71.17,246.55,159.02,8.86,255,157.27,26.94,215.96,128.6616478,42.38373213,Ambré
2000-04-06,2000,66,7.1,-1.1,3,8.2,0,313.2,27,34.31536139,8683.8,3.14,3291,7.41,42.42,10.42,104.2475875,4.03,68,301.07,38.8,172.5,45.65,5.65,170.68,42.48,51.21,163.79,73.17,65.79,180.11,31.56,70.81,181.96,39.75,23.77,149.97,86.9,56.1,174.29,71.98,43.11,174.95,82.23,27.59,166.33,35.12922411,7.149116619,Foncé
2000-04-07,2000,67,8.7,-0.1,4.3,8.8,0,313.2,27,34.31536139,9319.2,3,2843,6.4,41.45,9.45,104.4666825,4.74,69,304.59,31.1,95.46,76.88,66.83,158.84,87.5,50.55,128.61,35.02,7.33,129.53,67.5,79.66,136.95,85.51,61.64,149.91,84.79,20.62,140.59,60.58,14.31,155.89,64.89,64.17,110.12,30.42168258,20.39806048,Foncé
2000-04-08,2000,68,3.7,0.8,2.3,2.9,15.4,313.2,27,34.31536139,307.1,2.2,122,0.27,39.68,7.68,104.264184,1.6,68,7.46,40.32,182.55,61.68,39.89,148.5,82.78,56.36,172.24,48.41,71.55,187.95,66.78,4.46,146.12,101.89,18.92,216.23,67.1,15.15,181.22,48.58,30.28,212.46,81.14,44.08,215.91,65.64762638,64.53790308,Foncé
2000-04-09,2000,69,8.8,-1.2,3.8,10,21.8,313.2,27,34.31536139,10590,2.04,4143,9.32,38.94,6.94,104.2096874,4.94,68,238.53,39.54,163.18,58.51,11.14,207.97,79.54,65.9,210.98,33.47,13.01,168.64,75.42,35.33,206.61,100.8,35.34,160.29,54.81,71.64,183.12,63.07,67.61,197.59,90.49,11.39,199.8,57.58870932,9.572947431,Foncé
2000-04-10,2000,70,4.4,-2.8,0.8,7.2,1.2,313.2,27,34.31536139,7624.8,2.86,4065,9.15,37.13,5.13,103.6061384,3.77,65,252.19,53.65,222.89,99.7,64.67,255,129.8,30.84,255,115.37,32.69,248.94,110.08,48.81,240.3,85.7,36.53,255,134.59,19.17,248.43,146.98,31.33,216.05,105.93,32.46,255,150.4903014,72.00160711,Ambré
2000-04-11,2000,71,2.4,-4.6,-1.1,7,0.4,313.2,27,34.31536139,741.3,3.11,440,0.99,40.42,8.42,104.2107514,1.51,68,25.47,59.47,249.27,135.92,10.54,224.83,155.53,36,228.39,171.28,78.33,255,146.1,13.22,241.62,117.17,34.48,255,177.04,65.47,230.85,113.38,13.98,255,168.6,27.54,255,115.668636,81.04712208,Ambré
2000-04-12,2000,72,2.2,-3.1,-0.5,5.3,3.2,313.2,27,34.31536139,561.3,2.98,243,0.55,40.05,8.05,103.6922935,1.64,65,19.37,43.19,163.55,108.62,3.72,194.89,76.79,67.68,226.16,64.17,51.62,182.33,41.89,18.99,164.89,81.97,26.2,204.87,74.34,54.7,176.2,96.74,34.21,225,82.64,41.12,206.47,49.82346267,53.5220288,Foncé
2000-04-13,2000,73,5.9,-5.3,0.3,11.2,0,313.2,27,34.31536139,11860.8,3.04,5911,13.3,36.6,4.6,103.8557609,6.23,66,410.64,49.49,199.68,134.91,49.22,223.34,82.42,12.43,240.98,91.85,13.17,235.43,92.88,49.37,255,66.59,61.98,192.89,63.74,50.72,241.35,109.55,15.99,193.69,125.95,30.3,244.96,69.27779695,26.40335821,Foncé
2000-04-14,2000,74,8.9,-4.4,2.3,13.3,0,313.2,27,34.31536139,14084.8,2.91,7221,16.25,39.95,7.95,104.0545756,6.02,67,460.4,50.69,255,130.47,8.87,246.59,129.11,37.82,255,121.12,33.03,234.3,109.96,55.37,255,110.74,24.23,255,96.35,21.84,255,125.29,66.64,231.83,83.2,1.38,245.99,139.0099204,31.50000454,Ambré
