Population,PIB par capita ($ US),IMC (Indice Masse Corporelle),%-immunisation Hépatite B,Polio immunisation (%),Diphthérie et tétanos (%-immunisation),Rougeole (cas par 1000 habitants),VIH/Sida (cas par 1000 habitants),"Prévalence malnutrition (1-19 ans, %)","Prévalence malnutrition (5-9 ans, %)",Facteur de revenu,Nombre d'années d'études,Espérance de vie (années)
2175942,3868.578883,19.3,69,65,69,265,2.6,9.5,9.4,0.468,8.1,48.7
2997687,2878.837144,18.8,73,75,73,1014,2.6,9.6,9.6,0.454,7.7,48.2
2262399,262.415149,18.2,,36,34,765,2.5,9.8,9.7,0.439,7.2,47.7
19552542,1443.991929,17.7,,39,38,258,2.6,1,9.9,0.426,6.8,47.4
18865716,141.86844,17.2,,4,4,29,2.5,1.2,1.1,0.415,6.4,47.1
1823369,779.468356,16.8,,4,4,1196,2.4,1.4,1.3,0.406,5.9,46.8
17572649,711.181716,16.3,,37,41,11945,2.3,1.5,1.5,0.401,5.5,46.5
16983266,526.168743,15.8,,41,38,9046,2.1,1.7,1.7,0.391,5.1,45.7
1644924,555.2969419,15.4,,3,28,2219,2,1.9,1.9,0.382,4.6,45.3
,13566.9541,47.7,99,86,99,0,0.2,3.3,3.3,0.784,13.9,76.4
,12224.86416,46.4,99,98,99,0,0.2,3.3,3.3,0.781,13.9,76.1
,12565.44197,45.7,98,97,98,0,0.2,3.3,3.3,0.778,13.8,75.9
,11929.34991,45.1,99,99,99,0,0.1,3.3,3.3,0.782,14.1,75.7
,12126.87614,44.4,98,99,98,0,0.1,3.3,3.3,0.783,14.1,75.6
,1312.46692,43.8,98,98,99,0,0.1,3.4,3.3,0.788,14.2,75.4
,1473.31923,43.2,98,99,99,0,0.1,3.4,3.3,0.786,14.4,75.2
,12724.39377,42,99,99,99,0,0.1,3.4,3.4,0.773,14.7,74.8
,11371.93895,41.4,99,98,99,0,0.1,3.5,3.4,0,0,74.6
,1352.8374,4.8,97,97,97,0,0.1,3.5,3.4,0,0,74.4
,9358.154162,38.9,96,99,97,0,0.1,3.6,3.5,0,0,73.8
,9875.161736,38.2,,96,95,0,0.1,3.7,3.6,0,0,73.6
42981515,12245.25645,62.2,94,92,94,1,0.1,1,0.9,0.825,17.3,76.2
42539925,12976.63642,61.6,94,99,94,0,0.1,1,0.9,0.823,17.3,76
41656879,12726.9836,6.4,91,93,91,3,0.1,1,0.9,0.816,17.1,75.7
41223889,1276.265,59.8,94,95,94,17,0.1,1,0.9,0.802,16.8,75.5
4382389,8953.359275,58.6,9,94,93,0,0.1,1,0.9,0.792,16.3,75.4
3955889,5878.76127,57.5,84,92,91,0,0.1,1.1,0.9,0.782,16.1,75.2
38728696,4251.574348,56.3,81,91,98,0,0.1,1.1,1,0.775,16.3,74.7
3839379,333.4376,55.7,73,95,96,0,0.1,1.2,1,0.77,16.4,74.1
3747159,717.694674,54.6,,85,83,0,0.1,1.2,1.1,0.771,15.6,74
3757452,7669.273916,54,,88,83,6,0.1,1.2,1.1,0.764,15,74.1
291695,369.654776,54.9,94,96,94,33,0.1,2.1,2.2,0.741,12.7,74.8
29622,3994.712355,54.1,93,95,93,13,0.1,2.1,2.1,0.739,12.7,74.6
289359,3843.591213,53.3,95,96,95,10,0.1,2.1,2.1,0.736,12.7,74.4
2881922,3684.8481,52.6,95,96,95,0,0.1,2,2.1,0.732,12.7,74.4
2875581,3526.978143,51.9,95,96,95,0,0.1,2,2.1,0.729,12.7,73.9
2877311,3218.381655,51.2,94,96,94,2,0.1,2,2.1,0.72,12.3,73.5
2888584,2993.832531,5.7,93,94,93,0,0.1,2,2.1,0.725,11.9,73.3
29822,41.26997,5.1,89,91,89,0,0.1,2,2.1,0.721,12.3,73.2
293356,3138.8873,49.7,85,9,88,1,0.1,2,2.1,0.707,11.7,73.5
29585,2158.299,49.2,78,87,87,137,0.1,2,2.1,0.692,11.2,72.9
2981259,1643.758397,48.8,91,92,9,2281,0.1,2,2.1,0.679,10.9,73
3612,1191.96192,48.4,91,93,91,1783,0.1,2,2.1,0.668,10.9,73
333897,783.261699,47.8,91,96,94,40,0.1,2.1,2.1,0.645,10.8,72.6
35655,694.435119,47.4,69,97,94,69,0.1,2.1,2.1,0.644,11.1,72.6
369588,622.7427477,47.1,55,96,93,15,0.1,2.1,2.2,0.639,11.2,72
23789338,56554.3876,66.6,93,93,93,74,0.1,0.6,0.6,0.937,20.4,82.8
2346694,62214.6912,66.1,91,92,92,340,0.1,0.6,0.6,0.936,20.4,82.7
23117353,67792.3386,65.5,91,91,91,158,0.1,0.6,0.6,0.933,20.3,82.5
22728254,67677.63477,65,91,92,92,199,0.1,0.6,0.6,0.93,20.1,82.3
223424,62245.129,64.4,92,92,92,190,0.1,0.6,0.6,0.927,19.8,82
223175,51874.848,63.9,92,92,92,70,0.1,0.7,0.6,0.927,19.5,81.9
216917,42742.99898,63.4,94,92,92,104,0.1,0.7,0.6,0.925,19.1,81.7
212492,49664.6854,62.9,94,92,92,65,0.1,0.7,0.6,0.921,19.1,81.3
28276,4991.98289,62.5,94,92,92,11,0.1,0.7,0.6,0.918,19,81.3
26979,36118.28381,62,95,92,92,0,0.1,0.7,0.6,0.915,20.3,81.2
23948,3416.71483,61.5,95,92,92,10,0.1,0.7,0.6,0.91,20.3,81
21274,3472.37977,6.9,95,92,92,70,0.1,0.7,0.6,0.908,20.7,86
198954,23465.38559,6.3,95,92,93,91,0.1,0.7,0.7,0.905,20.6,83
196514,281.81763,59.6,95,92,92,32,0.1,0.7,0.7,0.902,20.1,79.9
19413,19517.84168,59,94,91,92,141,0.1,0.7,0.7,0.899,20.5,79.9
19153,2169.921,58.2,,9,9,108,0.1,0.7,0.7,0.897,20.4,79.5
8633169,43665.947,57.6,93,93,93,309,0.1,1.9,2.1,0.892,15.9,81.5
8541575,51322.63997,57.1,98,98,98,117,0.1,1.8,2,0.892,15.9,81.4
8479375,554.71532,56.6,95,95,95,0,0.1,1.8,2,0.887,15.7,81.1
8429991,48333.57273,56.1,92,92,92,36,0.1,1.8,2,0.884,15.7,88
8391643,51126.74139,55.7,89,89,89,68,0.1,1.7,2,0.88,15.7,88
836344,46657.629,55.2,86,86,86,52,0.1,1.7,1.9,0.872,15.4,84
8343323,47654.18721,54.7,83,83,83,49,0.1,1.7,1.9,0.87,15.3,82
8321496,51386.37665,54.2,83,83,83,448,0.1,1.7,1.9,0.864,15.1,84
8295487,46586.6525,53.7,85,85,85,20,0.1,1.7,1.9,0.86,15.2,81
8268641,443.99361,53.2,83,83,83,23,0.1,1.7,1.9,0.854,15,79.8
8121423,3212.9355,51.7,83,84,84,90,0.1,1.7,1.9,0.837,14.7,78.8
881957,26351.37568,51.2,81,82,83,0,0.1,1.7,1.9,0.847,16.1,78.7
842293,24489.73553,5.6,44,83,84,0,0.1,1.7,1.9,0.837,15.5,78.6
811566,24517.26745,5.1,33,71,81,0,0.1,1.7,1.9,0.833,15.4,78.1
953579,7891.299776,51.5,94,97,94,0,0.1,2.8,2.9,0.752,12.2,72.5
9295784,7496.335728,49.7,88,92,89,0,0.1,2.8,2.8,0.742,11.8,71.9
917382,7189.691229,48.8,84,91,87,0,0.1,2.8,2.9,0.741,11.7,71.6
954332,5842.85784,48,8,85,81,0,0.1,2.8,2.9,0.737,11.7,71.1
8947243,495.294791,47.3,74,84,81,0,0.1,2.8,2.9,0.728,11.6,78
87634,5574.6382,46.6,68,85,81,5,0.1,2.8,2.9,0.719,11.6,73
85813,3851.437869,45.9,62,81,79,0,0.1,2.8,2.9,0.708,11.6,73
848455,2473.85776,45.3,52,8,78,222,0.1,2.9,2.9,0.682,10.7,69.2
839185,1578.4239,44.7,49,79,75,1238,0.1,2.9,3,0.675,11.2,68.4
8365,145.2163,44.2,5,78,77,827,0.1,3,3,0.668,11,68.4
817195,763.73858,43.1,5,8,76,4353,0.1,3.1,3.1,0.651,10.6,67.8
81112,73.6838434,42.6,,77,77,574,0.1,3.1,3.1,0.642,10.4,67.5
8486,655.974326,42.1,,75,76,210,0.1,3.2,3.1,0.636,10.1,66.6
,,64.5,95,95,95,0,0.1,2.5,2.5,0.79,12.6,76.1
,,63.8,96,96,96,0,0.1,2.5,2.5,0.789,12.6,75.4
,,63.2,97,97,97,0,0.1,2.5,2.5,0.79,12.6,74.8
,,62.6,96,99,98,0,0.2,2.5,2.5,0.789,12.6,74.9
,,62,95,97,98,0,0.1,2.5,2.5,0.788,12.6,75
,,61.3,98,97,99,0,0.2,2.5,2.5,0.788,12.6,75
,,6.7,95,97,96,0,0.1,2.5,2.5,0.791,12.6,74.6
,,6.1,9,93,93,0,0.1,2.5,2.5,0.791,12.6,74.5
,,59.4,93,95,95,0,0.1,2.5,2.5,0.79,12.5,74.4
,,58.7,96,94,95,0,0.1,2.5,2.5,0.788,12.4,74.2
,,58.1,93,93,93,0,0.1,2.6,2.5,0.786,12.4,74.1
,,57.4,93,92,93,0,0.1,2.6,2.5,0.784,12.3,73.8
,,56.7,88,93,92,0,0.1,2.6,2.5,0.783,12.2,73.2
,,56,89,93,94,0,0.1,2.6,2.6,0.781,12.1,73.1
,,55.2,21,98,99,0,0.2,2.7,2.6,0.779,12.1,72.9
,,54.4,,91,99,0,0.1,2.7,2.6,0,12,72.6
,22688.87824,63.6,98,98,98,0,0.1,6.2,6.1,0.823,14.5,76.9
,24983.3792,62.9,98,98,98,46,0.1,6.1,6,0.82,14.5,76.8
,251.18329,62.2,99,99,99,0,0.1,6.1,6,0.815,14.5,76.7
,23649.36661,61.5,99,99,99,0,0.1,6.1,6,0.812,14.5,76.5
,2281.1242,6.8,99,99,99,0,0.1,6.1,6,0.812,14.4,76.1
,2722.1389,6.1,99,99,99,0,0.1,6,5.9,0.81,14.4,76.1
,19356.67236,59.3,98,97,98,3,0.1,6,5.9,0.814,14.4,76
,2367.56535,58.5,97,97,97,2,0.1,6,5.9,0.815,14.4,75.8
,2977.1153,57.6,97,97,97,7,0.1,6.1,5.9,0.813,14.4,75.6
,1937.99549,56.8,98,98,98,3,0.1,6.1,5.9,0.81,14.2,75.5
,15846.47641,55.6,98,98,98,11,0.1,6.1,5.9,0.803,13.9,75.2
,14221.99259,55.2,98,97,97,12,0.1,6.1,5.9,0.798,13.7,75
,1312.33457,55,98,98,98,8,0.1,6.2,5.9,0.796,13.5,74.9
,13636.34668,54.5,97,97,97,6,0.1,6.2,6,0.786,13.2,74.5
1612886,121.15812,18.3,97,97,97,240,0.1,17.9,18.3,0.575,10.2,71.8
15945279,184.56543,17.7,97,97,97,289,0.1,18.1,18.6,0.57,10,71.4
15572753,856.342857,16.4,94,94,94,1986,0.1,18.5,19,0.557,9.9,77
153911916,835.789341,15.8,96,96,96,5625,0.1,18.7,19.2,0.545,9.4,73
15214912,757.6717572,15.2,94,94,94,788,0.1,18.9,19.4,0.535,8.9,69.9
1545478,681.125368,14.6,97,97,97,718,0.1,19.1,19.7,0.523,8.4,69.5
14885814,615.7775411,14,96,96,96,2660,0.1,19.3,19.9,0.52,8.6,69.1
147139191,541.651484,13.5,95,96,94,2924,0.1,19.5,2.1,0.513,8.6,68.6
1453684,494.51466,13,86,95,94,6192,0.1,19.7,2.3,0.506,8.4,68.2
14343111,484.155471,12.5,45,94,93,25934,0.1,19.9,2.5,0.499,8.2,67.8
14137489,46.7579167,12,11,88,99,9743,0.1,2.1,2.7,0.491,8.1,67.3
139191,432.7388972,11.6,5,9,87,4067,0.1,2.3,2.9,0.484,7.9,66.8
1366667,4.6135745,11.2,,83,83,3484,0.1,2.5,21.1,0.476,7.7,66.3
1341716,42.5981152,1.8,,85,85,4414,0.1,2.7,21.3,0.468,7.5,65.8
131581243,45.63371,1.4,,83,82,5098,0.1,2.9,21.5,0.459,7.3,65.3
,15557.8381,54.5,97,97,97,0,0.1,3.8,3.7,0.794,15.3,75.5
,15359.66971,53.7,94,95,94,0,0.1,3.8,3.7,0.793,15.3,75.4
,15472.7814,53,91,91,91,0,0.1,3.8,3.8,0.792,15.3,75.2
,15384.8749,52.2,87,88,87,0,0.1,3.8,3.8,0.785,15.3,75.1
,15534.1574,51.4,91,91,91,0,0.1,3.8,3.8,0.78,15.5,74.9
,16523.32388,49.9,93,93,93,0,0.1,3.8,3.8,0.779,15.5,74.6
,1657.3228,49.2,85,85,85,0,0.1,3.9,3.9,0.775,15.3,74.4
,15646.5591,47.7,84,85,84,0,0.1,4,3.9,0.766,14.8,74.1
,14223.86576,46.9,92,91,92,0,0.1,4,4,0.761,14.6,73.9
,12868.8639,46.2,93,93,93,0,0.2,4.1,4,0.757,14.4,73.8
,1228.5447,45.4,91,9,89,0,0.4,4.1,4.1,0.753,14.2,73.7
,11675.39395,44.6,66,86,87,0,0.8,4.2,4.1,0.749,14,73.5
,11513.87189,43.8,18,93,84,0,0.7,4.2,4.2,0.75,14,73.4
,11568.1111,43,,86,93,0,0.9,4.3,4.2,0.741,14,73.3
9489616,5949.11677,62.3,99,99,99,2,0.1,1.9,2,0.798,15.6,72.3
9474511,8318.429294,61.7,97,97,97,64,0.1,1.9,2,0.796,15.7,72
9465997,7978.825443,61.1,98,98,98,16,0.1,2,2,0.796,15.7,71.7
9464495,694.243915,6.5,97,98,98,10,0.1,2,2.1,0.793,15.6,71.9
9473172,6519.71753,59.9,98,98,98,50,0.1,2,2.1,0.787,15.5,72
949583,63.38877,59.3,96,99,98,1,0.1,2,2.2,0.78,15.5,73
956765,5176.172649,58.7,98,98,96,0,0.1,2.1,2.2,0.771,15.4,70
9527985,6376.183153,58.2,98,98,97,0,0.1,2.1,2.3,0.755,15.1,70
956953,4735.484827,57.7,91,9,95,1,0.1,2.2,2.3,0.739,14.9,69.8
9663915,3126.71767,56.7,99,98,99,1,0.1,2.3,2.5,0.713,14.4,68.1
973146,2378.33927,56.2,99,99,99,2,0.1,2.4,2.5,0.703,14.1,68.2
9796749,1819.525644,55.8,56,53,5,21,0.1,2.5,2.6,0.695,13.9,67.7
9865548,1479.383142,55.3,99,99,99,14,0.1,2.5,2.7,0.687,13.6,67.2
9928549,1244.373185,54.9,93,99,99,45,0.1,2.6,2.7,0.681,13.3,67.7
11274196,4356.875,63.7,98,99,99,47,0.1,1,1,0.895,16.6,81.1
112957,47439.39684,63.4,98,99,99,70,0.1,1,1,0.89,16.3,89
11182817,4651.38647,63,98,99,99,39,0.1,1,0.9,0.889,16.3,87
1147744,4772.77415,62.3,97,98,98,576,0.1,0.9,0.9,0.884,16.1,83
1895586,4438.23741,61.9,97,98,98,40,0.1,0.9,0.9,0.878,15.9,80
1796493,4488.5615,61.6,97,98,98,33,0.1,0.9,0.9,0.876,15.8,79.8
179973,48424.58927,61.3,98,99,99,98,0.1,0.8,0.8,0.874,15.8,79.5
1547958,38852.3613,6.6,94,99,98,15,0.1,0.8,0.8,0.865,15.7,79.4
1478617,36967.28292,6.2,77,97,97,26,0.1,0.8,0.8,0.861,15.7,78.9
1421137,35589.71295,59.8,64,96,95,61,0.1,0.8,0.8,0.88,18.8,78.8
1376133,3743.95693,59.4,64,96,95,44,0.1,0.8,0.8,0.878,18.6,78.3
1332785,2552.3328,59,6,96,95,0,0.1,0.8,0.8,0.875,18.8,78
128657,23121.56635,58.5,6,96,95,83,0.1,0.8,0.8,0.873,18.2,78
125125,2327.4591,58.1,6,96,95,0,0.1,0.8,0.8,0.869,18,77.6
359288,4849.997495,5.9,94,94,94,0,0.2,3.5,3.4,0.706,12.8,71
351694,4852.223666,5.1,95,95,95,0,0.2,3.4,3.4,0.705,12.8,70
344181,4688.538443,49.3,95,95,95,0,0.2,3.4,3.4,0.706,12.9,69.8
33671,4673.63848,48.5,98,98,98,0,0.1,3.5,3.4,0.702,12.5,69.4
329192,4516.24675,47.8,95,95,95,0,0.5,3.5,3.4,0.7,12.4,69.4
32168,4344.15177,47,96,96,96,0,0.2,3.5,3.4,0.7,12.4,69.5
313929,4258.788611,46.3,97,98,97,0,0.3,3.5,3.4,0.7,12.7,69.5
36165,447.22796,45.7,94,94,94,0,0.1,3.5,3.4,0.699,12.8,69.6
29847,4324.876427,45,96,97,96,0,0.6,3.5,3.5,0.7,12.8,69.6
29747,4187.3783,44.4,98,98,98,0,0.6,3.6,3.5,0.692,12.3,69.4
283277,3933.332215,43.8,96,96,96,0,0.8,3.6,3.5,0.695,12.8,69
27689,3831.53819,43.2,97,97,97,0,0.8,3.6,3.5,0.691,12.5,68.7
26913,3679.99523,42.6,96,95,96,0,1.5,3.6,3.6,0.684,12.2,68.4
26226,3556.561825,42,97,93,89,0,0.1,3.7,3.6,0.678,11.9,68.5
1575952,783.94791,25.7,82,78,82,55,1,6.9,6.8,0.481,10.7,60
1286712,943.686575,25.2,78,74,78,786,1.1,7.1,6.9,0.475,10.7,59.7
14451,915.2674586,24.6,77,73,77,637,1.2,7.2,7.1,0.466,10.3,59.5
972916,837.9551,24.1,8,8,8,288,1.3,7.4,7.3,0.458,10,59.3
894476,793.45243,22.5,79,8,79,1461,1.6,7.9,7.8,0.448,9.3,58.4
8696916,82.1513498,22,75,77,75,928,1.8,8.1,8,0.444,9.1,57.6
8454791,76.535419,21.5,82,82,82,341,2,8.3,8.2,0.438,8.9,57.1
8216896,625.8392,21,74,76,74,176,2,8.5,8.4,0.434,8.7,56.8
7982225,61.799977,2.5,7,73,7,210,2.1,8.7,8.6,0.43,8.5,56.5
7754,583.493514,2.1,75,74,72,262,2.1,8.9,8.8,0.423,8.1,56.1
752555,519.2922847,19.7,73,75,73,217,2.1,9.1,9,0.416,7.7,55.8
6865951,374.1923942,18.4,,78,78,4244,2,9.7,9.6,0.389,6.4,55.4
787386,2613.645177,24.5,99,98,99,11,0.5,15.4,16,0.604,12.5,69.8
776448,2522.7968,23.6,99,98,99,0,0.5,15.7,16.2,0.596,12.5,69.4
752967,2422.816,21.9,97,97,97,1,0.6,16.1,16.7,0.581,12.3,68.7
7451,2458.45976,21.1,95,95,95,10,0.5,16.3,17,0.572,11.9,68.3
727641,2178.921383,2.3,91,92,91,21,0.5,16.6,17.3,0,11.4,67.9
795,1795.18137,18.8,96,96,96,7,0.4,17.1,17.8,0,10.5,67
686958,1741.142552,18,95,93,95,11,0.3,17.3,18.1,0,10.1,66.5
672228,1335.45696,17.4,95,96,95,2,0.3,17.5,18.3,0,9.6,65.8
656639,1247.61392,16.7,95,95,95,11,0.3,17.8,18.6,0,9.2,65
64282,197.45788,16.1,89,9,89,3,0.3,18,18.8,0,8.8,64.2
623434,997.7417141,15.5,95,96,95,0,0.2,18.3,19.1,0,8.4,63.3
66399,885.6382245,14.9,83,89,86,27,0.1,18.6,19.4,0,8,62.5
,,52.6,99,99,99,0,0.1,1.2,1.1,0.671,13.8,77
,,51.9,98,99,98,0,0.1,1.2,1.1,0.666,13.8,74
,,51.2,94,95,94,0,0.1,1.2,1.1,0.661,13.8,71
,,49.3,91,9,91,0,0.2,1.2,1.1,0.643,13.8,68.7
,,48.6,93,92,93,0,0.2,1.2,1.1,0.636,13.8,68
,,48,88,87,88,0,0.2,1.3,1.1,0.632,14,67.4
,,47.3,84,85,84,0,0.2,1.3,1.2,0.626,14.1,66.8
,,46.7,83,82,83,0,0.2,1.3,1.2,0.625,14.3,66.2
,,46,85,84,85,0,0.2,1.3,1.2,0.622,14.4,65.7
,,45.4,84,84,84,0,0.2,1.4,1.2,0.62,14.6,65.1
,,44.7,8,82,88,0,0.2,1.4,1.3,0.617,14.4,64.5
,,43.3,77,71,71,0,0.1,1.5,1.4,0.607,13.7,63.3
,,42.6,77,74,75,122,0.1,1.5,1.4,0.6,13.3,62.6
3535961,4574.9787,55.8,82,74,82,1677,0.1,2.3,2.3,0.747,14.2,77.4
35662,5193.94932,55.3,89,86,86,3000,0.1,2.4,2.4,0.742,14.2,77.2
36482,4716.673325,54.2,92,87,92,22,0.1,2.5,2.5,0.728,13.9,76.8
3688865,55.156834,53.7,88,89,88,10,0.1,2.6,2.5,0.711,13.4,76.9
372284,4611.47298,53.1,89,9,89,45,0.1,2.6,2.6,0.717,13.3,76.4
3746561,4697.89732,52.6,9,9,9,22,0.1,2.7,2.7,0.716,13.3,76.1
3763599,575.31664,52.1,88,92,91,8,0.1,2.8,2.7,0.71,13.1,76
3774,418.292176,51.5,94,95,95,166,0.1,2.8,2.8,0.703,12.9,75.4
3779468,344.321698,51,9,91,87,17,0.1,2.9,2.8,0.697,12.7,75.7
378153,2968.41186,5.5,93,95,93,23,0.1,2.9,2.9,0,12.5,75
3781287,265.642661,49.9,36,87,84,28,0.1,3,3,0,12.3,75.5
3779247,2214.732246,49.4,,87,87,18,0.1,3,3,0,12.1,75.2
376676,1461.7552,47.6,,87,85,43,0.1,3.3,3.2,0,0,74.6
229197,6532.651,37.9,95,96,95,0,2.2,6.4,6.1,0.698,12.6,65.7
2168573,7497.762376,37.3,95,96,95,1,2.3,6.7,6.4,0.697,12.6,65.1
212857,77.625783,36.8,95,96,95,1,2.8,7,6.7,0.693,12.6,64.2
289315,729.231453,36.2,95,96,95,7,4.4,7.3,7,0.687,12.5,63.4
251339,7645.21469,35.7,95,96,95,8,5.5,7.7,7.4,0.678,12.4,62.2
1979882,5185.729845,34.7,94,96,96,184,9,8.4,8.2,0.661,12.2,59.2
1946351,5623.379566,34.2,94,96,96,0,12.7,8.8,8.6,0.646,12.1,57.5
1914414,5714.47937,33.7,93,96,96,1,13.4,9.2,9,0.63,12.1,56.9
1884238,5374.554867,33.2,93,96,96,6,14.4,9.6,9.4,0.61,11.9,54.8
1855852,5351.253732,32.7,92,96,96,5,20.6,1,9.9,0.593,11.9,51.7
182933,4896.583835,32.2,91,96,96,1,28.4,1.5,1.4,0.58,11.8,48.1
184339,4163.6596,31.6,9,96,96,59,31.9,1.9,1.8,0.567,11.8,46.4
1779953,355.618382,31.1,88,97,97,7,34.6,11.4,11.3,0.558,11.9,46
1754935,3128.97793,3.5,87,97,97,1,37.2,11.8,11.8,0.56,11.8,46.7
172834,3349.68823,29.9,86,97,97,2672,38.8,12.3,12.2,0.559,11.7,47.8
2596218,8757.2622,56.1,96,98,96,214,0.1,2.7,2.6,0.754,15.2,75
24213133,1226.61731,55.3,96,96,93,876,0.1,2.7,2.7,0.747,15.2,74.8
2248632,12216.9446,54.5,96,96,97,220,0.1,2.8,2.7,0.734,14.2,74.7
256983,12291.46685,53.6,96,96,95,2,0.1,2.8,2.8,0.73,14.2,74.5
198686688,13167.47289,52.8,98,98,99,43,0.1,2.9,2.8,0.724,14,74.1
194895996,8553.3847,51.1,99,99,99,0,0.1,3,2.9,0.714,13.8,73.6
19297929,8787.61375,5.3,96,99,99,0,0.1,3,3,0.704,13.3,73.4
19126637,7313.557962,49.4,99,99,99,0,0.1,3.1,3,0.7,13.5,73.3
18912412,586.145975,48.6,99,99,99,57,0.1,3.1,3.1,0.698,13.8,73
186917361,477.182746,47.8,98,99,99,6,0.1,3.2,3.1,0.694,13.8,72.7
184738458,3623.47667,46.9,96,99,99,0,0.1,3.2,3.2,0.695,14,72
182482149,359.587582,46.1,97,99,99,2,0.1,3.3,3.3,0.699,14.8,71.8
1815121,2819.649531,45.3,92,99,99,1,0.1,3.3,3.3,0.692,14.6,71.4
1777567,3146.95177,44.5,91,99,98,1,0.1,3.4,3.4,0.685,14.3,71
