ID,Âge,Statut Marital,Revenus,Enfants,Adolescents,Date,Temps depuis dernier achat,Vins ($/2sem),Fruits ($/2sem),Viandes ($/2sem),Poisson ($/2sem),Sucreries ($/2sem),Joaillerie ($/2sem),Achats avec rabais,Achats web,Achats catalogues,Achats en magasin,Nombre de visite sites web (par mois)
5846,43,Divorcé,40246,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6
1859,48,Marié,75251,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5
7503,44,Célibataire,75825,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4
10401,44,Conjoint de fait,26326,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3
1618,55,Conjoint de fait,56046,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8
3332,35,Célibataire,29760,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8
2261,51,Marié,26304,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7
5346,47,Marié,23559,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7
4119,57,Conjoint de fait,38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3
535,33,Divorcé,81361,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1
5268,60,Marié,29440,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7
273,50,Marié,36138,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7
4452,63,Célibataire,50388,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7
8504,47,Marié,79593,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2
771,53,Conjoint de fait,54178,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2
8996,63,Marié,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9
9235,63,Célibataire,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7
5798,47,Conjoint de fait,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1
11178,48,Célibataire,42394,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7
2230,50,Marié,23626,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5
7516,37,Marié,30096,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6
7247,60,Veuf,47916,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6
11100,48,Divorcé,51813,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7
4646,69,Marié,78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2
3037,37,Marié,50150,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5
1473,60,Célibataire,47823,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8
1016,61,Célibataire,34554,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6
4518,41,Conjoint de fait,85693,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5
9370,75,Marié,65846,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4
8908,61,Marié,87195,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1
8373,41,Conjoint de fait,24594,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5
7533,56,Marié,49096,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7
2683,51,Marié,52413,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6
3629,42,Célibataire,38557,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7
10991,60,Marié,89058,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2
5077,41,Conjoint de fait,77298,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3
7431,29,Célibataire,68126,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9
3267,57,Conjoint de fait,57288,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6
999,29,Célibataire,86037,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3
9215,40,Marié,43974,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7
2286,58,Célibataire,50785,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6
1592,50,Marié,90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1
367,42,Marié,36550,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9
5234,53,Conjoint de fait,30753,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5
9862,51,Conjoint de fait,21918,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6
9805,67,Conjoint de fait,56129,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4
6205,53,Célibataire,32557,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5
8442,35,Marié,19510,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7
7386,44,Divorcé,30992,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7
7215,37,Célibataire,101970,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2
1491,55,Conjoint de fait,71488,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1
11071,36,Célibataire,79607,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1
3381,67,Marié,54348,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6
8268,59,Marié,,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6
11051,64,Conjoint de fait,77376,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4
8026,68,Marié,62998,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5
433,62,Alone,61331,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8
9597,51,Marié,73448,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4
1295,57,Marié,,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4
5290,56,Marié,41551,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8
1685,53,Conjoint de fait,62981,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3
5342,44,Divorcé,9548,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8
9579,61,Marié,33762,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8
7660,47,Alone,35860,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5
1461,55,Divorcé,36921,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7
821,28,Célibataire,92859,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2
11084,44,Conjoint de fait,65104,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7
8690,58,Marié,86111,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2
2937,46,Célibataire,68352,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6
9701,32,Conjoint de fait,41883,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7
9949,44,Marié,59809,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8
10837,45,Marié,23957,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6
3120,39,Conjoint de fait,38547,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8
5885,47,Marié,35688,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8
4050,54,Marié,49605,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3
3830,67,Marié,59354,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3
7987,51,Marié,65747,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6
7798,48,Conjoint de fait,46344,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7
92,32,Alone,34176,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6
7055,68,Conjoint de fait,61010,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5
10240,71,Conjoint de fait,69372,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4
3025,62,Célibataire,49967,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7
9283,42,Célibataire,60199,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4
9970,43,Conjoint de fait,55375,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2
2730,65,Célibataire,80317,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1
2795,62,Célibataire,30523,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7
9260,75,Marié,70356,0,0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6
8182,36,Marié,23228,1,0,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8
10095,45,Divorcé,74165,0,0,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2
8475,47,Marié,157243,0,1,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0
4370,54,Conjoint de fait,43482,2,1,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6
10573,67,Divorcé,62551,0,0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3
3712,61,Divorcé,52332,0,0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4
6637,32,Célibataire,66951,0,0,2013-11-02,46,277,162,305,173,76,124,1,3,4,7,1
3152,63,Conjoint de fait,26091,1,1,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5
5610,55,Conjoint de fait,33456,1,1,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7
6460,38,Marié,28718,1,0,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8
1349,50,Marié,50447,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6
1880,61,Conjoint de fait,53537,1,1,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5
641,53,Célibataire,52074,0,1,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4
8717,45,Marié,80427,0,1,2012-09-12,56,1149,71,449,69,71,26,1,11,8,8,5
10314,72,Marié,83837,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4
10854,50,Marié,38853,1,1,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7
10492,61,Conjoint de fait,38285,2,1,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2
6935,69,Marié,78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2
7698,44,Marié,51650,0,1,2014-05-11,81,152,3,22,2,5,7,1,4,1,4,5
3559,32,Marié,16248,1,0,2014-05-10,77,12,11,10,3,12,9,3,2,1,3,6
10562,74,Marié,66835,0,0,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2
10796,36,Marié,30477,1,0,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6
2563,59,Marié,28249,0,0,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6
3518,37,Marié,25271,1,0,2012-12-05,45,10,1,18,10,4,7,1,1,1,2,9
5823,50,Célibataire,32303,0,1,2014-03-08,63,35,0,2,0,0,2,2,1,0,4,5
3934,54,Marié,61286,0,1,2013-08-02,34,356,0,107,19,9,117,2,7,1,8,5
6982,44,Marié,74068,0,0,2013-03-19,14,783,30,537,140,76,15,1,4,10,9,2
6431,56,Marié,45759,1,1,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7
9733,42,Conjoint de fait,24882,1,0,2012-09-09,52,1,4,10,29,0,36,1,1,1,2,6
5602,31,Conjoint de fait,66973,0,0,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3
7829,120,Divorcé,36640,1,0,2013-09-26,99,15,6,8,7,4,25,1,2,1,2,5
1324,32,Marié,38872,1,0,2013-05-30,93,23,3,21,3,19,22,2,3,0,3,8
326,47,Marié,51148,1,1,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6
7224,43,Marié,31353,1,1,2013-12-29,24,10,0,10,3,1,7,2,1,1,2,8
6999,40,Marié,69661,0,0,2014-05-13,80,656,16,106,32,16,8,1,7,3,12,3
9938,66,Marié,80067,0,0,2013-09-19,82,519,17,813,27,173,51,1,4,6,6,2
6422,66,Marié,86718,0,0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2
3182,47,Célibataire,46854,1,1,2014-03-31,81,96,1,79,7,1,79,6,5,1,3,8
7300,68,Divorcé,69142,0,1,2014-06-29,50,448,4,34,6,4,39,3,8,1,7,5
10424,52,Célibataire,75922,0,0,2013-12-09,60,265,138,553,224,23,92,1,4,4,9,1
8727,42,Divorcé,63693,0,1,2013-10-14,63,587,43,337,42,87,54,3,11,6,9,6
2798,43,Conjoint de fait,102160,0,0,2012-11-02,54,763,29,138,76,176,58,0,7,9,10,4
1030,55,Célibataire,40637,1,1,2013-07-17,72,22,0,13,0,0,3,2,1,0,3,7
624,36,Célibataire,18890,0,0,2012-11-10,5,6,4,1,7,2,15,1,0,1,2,6
5176,32,Conjoint de fait,29604,1,0,2013-12-08,88,7,6,13,7,6,14,1,1,0,3,9
5552,57,Divorcé,48721,1,1,2013-05-13,50,81,18,113,47,13,21,6,4,2,5,6
868,54,Marié,44794,0,1,2014-06-08,99,54,0,7,0,0,4,1,2,0,3,6
380,66,Divorcé,64497,0,1,2012-09-10,17,1170,48,320,42,32,192,5,11,4,9,8
2677,64,Conjoint de fait,46097,0,1,2013-03-31,11,72,24,68,65,4,8,5,3,1,6,4
6521,66,Conjoint de fait,77972,0,0,2014-03-18,18,613,22,319,33,102,12,1,4,6,9,1
6927,52,Marié,44377,1,1,2012-10-05,70,224,0,30,0,0,10,8,5,1,5,8
2877,46,Conjoint de fait,46014,1,1,2013-01-21,21,410,0,59,19,9,44,10,7,1,8,7
0,35,Marié,70951,0,0,2013-05-04,66,239,10,554,254,87,54,1,3,4,9,1
1584,43,Marié,41443,1,0,2014-04-01,79,171,7,171,25,19,89,6,8,1,5,8
7264,42,Célibataire,52195,2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8
6274,72,Marié,83790,0,0,2013-11-15,81,1076,16,417,42,48,16,1,8,10,6,3
1377,66,Veuf,44551,0,1,2013-08-31,24,182,4,33,0,0,66,2,4,1,5,7
454,40,Conjoint de fait,69508,1,0,2012-11-14,48,824,32,162,42,32,43,2,11,4,11,6
1755,32,Conjoint de fait,45204,1,0,2014-04-11,93,30,11,25,29,1,18,1,1,1,4,3
2075,51,Marié,72460,0,0,2013-11-14,56,377,10,540,80,30,10,1,3,5,7,1
4785,50,Conjoint de fait,77622,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3
9076,40,Marié,30732,1,0,2013-01-05,44,155,1,25,0,1,3,4,4,1,4,8
7079,58,Divorcé,63887,0,1,2012-09-08,38,897,23,207,15,11,92,5,9,6,12,6
4653,42,Conjoint de fait,42011,1,0,2013-03-26,46,131,0,16,2,1,39,4,3,1,4,8
7375,44,Conjoint de fait,51369,0,1,2012-10-25,84,297,7,79,0,11,182,2,8,2,4,8
709,68,Divorcé,51537,0,1,2012-12-09,27,787,20,204,0,0,92,3,2,2,11,8
460,48,Marié,79930,0,0,2012-08-08,72,792,86,740,67,51,17,1,3,5,8,2
3726,34,Conjoint de fait,34320,1,0,2014-02-16,66,4,1,9,3,0,0,1,1,0,2,8
6798,54,Célibataire,37070,1,1,2013-03-20,30,231,7,137,4,15,39,9,5,1,8,7
5341,58,Divorcé,81975,0,1,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7
1606,49,Conjoint de fait,38590,1,0,2013-05-15,65,3,1,8,4,3,3,1,1,0,2,8
9617,69,Célibataire,15033,0,0,2014-04-16,37,0,4,5,6,0,4,1,1,0,3,3
3233,55,Marié,62745,0,1,2013-03-23,89,562,21,464,28,10,32,3,7,8,11,5
89,45,Marié,22212,1,0,2013-12-09,49,5,9,20,6,8,21,2,2,0,4,6
2936,38,Conjoint de fait,23661,1,0,2013-12-04,46,18,0,4,0,0,1,1,1,0,3,7
9449,62,Célibataire,79761,0,1,2013-10-04,32,415,5,124,15,35,11,1,5,2,11,3
7297,47,Célibataire,7500,1,0,2013-12-26,54,5,3,10,12,7,20,4,3,1,3,7
11004,127,Célibataire,60182,0,1,2014-05-17,23,8,0,5,7,0,2,1,1,0,2,4
313,52,Veuf,73455,0,0,2013-10-28,98,901,61,757,186,163,20,1,6,5,10,3
9940,62,Conjoint de fait,64961,0,1,2012-12-23,97,382,114,276,75,124,38,2,6,4,4,3
10735,49,Célibataire,22804,1,0,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9
9529,30,Marié,73687,0,0,2013-11-28,8,559,153,503,218,13,181,1,3,9,9,2
6439,62,Marié,61074,0,1,2012-08-17,37,789,0,133,0,28,152,7,11,5,8,7
7411,56,Marié,31686,1,1,2014-06-05,31,11,0,5,0,0,1,2,1,0,3,6
2176,48,Marié,80134,1,0,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6
9265,67,Marié,75027,0,1,2013-01-09,74,925,64,179,133,12,77,2,9,4,6,5
8867,32,Marié,67546,0,0,2012-08-31,90,864,134,768,150,38,172,1,4,10,5,3
8932,51,Conjoint de fait,65176,0,1,2012-10-29,57,960,28,183,220,70,70,4,9,6,6,6
10236,45,Célibataire,31160,1,0,2013-09-16,59,16,3,25,6,1,13,2,2,0,3,8
6340,35,Célibataire,29938,1,0,2013-10-27,52,3,3,7,0,2,11,2,1,0,3,6
10089,46,Divorcé,102692,0,0,2013-04-05,5,168,148,444,32,172,148,1,6,9,13,2
2227,62,Conjoint de fait,26490,0,0,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6
10992,53,Conjoint de fait,75702,1,1,2012-08-29,77,650,28,353,45,42,30,5,4,6,11,8
5304,46,Célibataire,30899,1,0,2012-10-13,35,24,0,8,0,0,1,2,1,0,3,6
309,59,Conjoint de fait,63342,0,1,2012-10-16,48,918,21,118,13,10,21,3,8,3,5,6
3406,56,Célibataire,45989,0,1,2012-10-22,97,138,33,87,28,24,12,4,3,2,7,3
2661,56,Célibataire,18701,1,1,2013-06-04,95,12,4,2,10,6,10,4,2,0,4,5
3153,63,Célibataire,40737,2,1,2013-12-08,24,11,0,4,0,0,2,1,1,0,2,8
10264,41,Divorcé,15287,1,0,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7
1184,52,Divorcé,69674,0,2,2013-05-22,46,554,41,215,11,0,24,3,10,2,10,5
4200,50,Marié,44159,1,0,2014-06-17,85,167,2,62,24,13,7,4,4,1,6,5
9396,42,Marié,37717,1,0,2012-11-23,31,9,0,6,4,1,5,1,1,0,2,9
2387,68,Conjoint de fait,43776,1,1,2013-02-03,9,177,2,71,3,2,20,6,5,2,4,8
6690,54,Marié,38179,1,1,2013-03-14,30,38,4,22,4,2,20,4,3,1,3,7
1225,57,Marié,80124,0,0,2014-06-26,47,483,84,398,205,84,241,1,3,7,8,1
9703,50,Marié,38097,1,1,2012-10-15,70,77,2,35,0,1,69,4,3,2,2,7
291,50,Marié,72940,0,0,2013-06-19,13,182,74,298,162,149,116,1,3,3,6,1
4557,50,Conjoint de fait,22070,1,0,2013-10-04,11,10,7,19,8,2,21,2,2,2,2,6
2379,67,Célibataire,69267,0,0,2012-09-22,31,778,44,499,95,73,146,2,3,4,5,7
5726,37,Célibataire,31788,1,0,2014-03-20,15,16,7,23,0,8,6,3,3,0,4,5
3066,45,Conjoint de fait,61905,0,1,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5
6336,60,Marié,29315,1,1,2014-04-06,55,13,2,14,8,7,4,4,2,0,4,6
10967,57,Divorcé,33378,1,1,2013-02-06,38,33,6,40,3,7,10,3,2,0,4,7
2304,57,Conjoint de fait,66313,0,1,2013-09-16,86,625,7,99,10,22,7,2,6,3,12,4
3445,64,Célibataire,60714,0,0,2013-01-17,56,216,162,224,101,92,162,2,7,4,10,5
7828,39,Conjoint de fait,77882,0,0,2014-04-30,29,68,129,396,188,22,15,1,3,3,5,1
3762,34,Célibataire,69867,0,0,2013-04-02,30,196,0,512,33,130,54,1,3,5,8,1
4391,52,Divorcé,63841,0,1,2013-04-21,64,635,15,100,20,7,131,1,9,3,9,6
